season,division,date,home,away,home_goals,away_goals
2025,4,2025-04-12,France,Netherlands,31,28
2025,4,2025-04-12,Denmark,Germany,26,29
2025,6,2025-04-12,North Macedonia,Poland,21,23
2025,6,2025-04-12,Montenegro,Portugal,30,26
2025,4,2025-04-11,Russia,Belarus,29,21
2025,4,2025-04-10,France,Netherlands,31,25
2025,4,2025-04-10,Hungary,Brazil,31,27
2025,6,2025-04-10,Israel,Iceland,21,31
2025,6,2025-04-10,Sweden,Kosovo,51,16
2025,6,2025-04-10,Austria,Turkey,36,29
2025,6,2025-04-10,Croatia,Spain,27,26
2025,6,2025-04-10,Czech Republic,Ukraine,35,19
2025,4,2025-04-09,Germany,Denmark,31,33
2025,6,2025-04-09,Iceland,Israel,39,27
2025,6,2025-04-09,Poland,North Macedonia,22,18
2025,6,2025-04-09,Faroe Islands,Lithuania,36,26
2025,6,2025-04-09,Portugal,Montenegro,19,31
2025,6,2025-04-09,Switzerland,Slovakia,38,22
2025,6,2025-04-09,Italy,Romania,21,30
2025,6,2025-04-09,Slovenia,Serbia,29,29
2025,4,2025-03-08,Spain,Austria,32,25
2025,4,2025-03-08,France,Germany,30,29
2025,4,2025-03-08,Sweden,Romania,26,25
2025,4,2025-03-08,Hungary,Ukraine,35,16
2025,4,2025-03-06,Spain,Argentina,28,25
2025,4,2025-03-06,Sweden,Romania,36,28
2025,4,2025-03-06,Germany,France,25,28
2024,3,2024-12-15,Denmark,Norway,23,31
2024,3,2024-12-15,France,Hungary,24,25
2024,3,2024-12-13,France,Denmark,22,24
2024,3,2024-12-13,Hungary,Norway,22,30
2024,3,2024-12-13,Sweden,Netherlands,33,32
2024,3,2024-12-11,Switzerland,Norway,24,40
2024,3,2024-12-11,Denmark,Netherlands,30,26
2024,3,2024-12-11,Slovenia,Germany,16,35
2024,2,2024-12-10,South Korea,Japan,24,25
2024,2,2024-12-10,Iran,Kazakhstan,22,28
2024,3,2024-12-10,Sweden,Montenegro,25,24
2024,3,2024-12-10,Hungary,France,27,30
2024,3,2024-12-10,Romania,Poland,24,29
2024,3,2024-12-09,Denmark,Slovenia,33,26
2024,3,2024-12-09,Norway,Germany,32,27
2024,3,2024-12-09,Switzerland,Netherlands,29,37
2024,2,2024-12-08,Japan,Kazakhstan,30,23
2024,2,2024-12-08,South Korea,Iran,33,20
2024,3,2024-12-08,Sweden,France,27,31
2024,3,2024-12-08,Hungary,Romania,37,29
2024,3,2024-12-08,Montenegro,Poland,30,28
2024,1,2024-12-07,Senegal,Angola,18,27
2024,1,2024-12-07,Tunisia,Egypt,25,22
2024,3,2024-12-07,Netherlands,Norway,21,31
2024,3,2024-12-07,Denmark,Germany,30,22
2024,3,2024-12-07,Switzerland,Slovenia,25,34
2024,1,2024-12-06,Egypt,Angola,22,36
2024,1,2024-12-06,Tunisia,Senegal,18,26
2024,2,2024-12-06,South Korea,China,25,14
2024,3,2024-12-06,Hungary,Poland,31,21
2024,3,2024-12-06,France,Montenegro,31,23
2024,3,2024-12-06,Sweden,Romania,23,25
2024,3,2024-12-05,Denmark,Norway,24,27
2024,3,2024-12-05,Hungary,Montenegro,26,20
2024,3,2024-12-05,France,Romania,30,25
2024,3,2024-12-05,Netherlands,Slovenia,26,22
2024,3,2024-12-05,Sweden,Poland,33,25
2024,3,2024-12-05,Switzerland,Germany,27,36
2024,2,2024-12-04,Kazakhstan,South Korea,20,30
2024,2,2024-12-03,Japan,Iran,34,14
2024,2,2024-12-03,China,Kazakhstan,26,28
2024,3,2024-12-03,Croatia,Switzerland,22,26
2024,3,2024-12-03,Czech Republic,Montenegro,21,28
2024,3,2024-12-03,Iceland,Germany,19,30
2024,3,2024-12-03,Faroe Islands,Denmark,24,33
2024,3,2024-12-03,Serbia,Romania,25,27
2024,3,2024-12-03,Ukraine,Netherlands,23,43
2024,3,2024-12-02,Portugal,France,16,28
2024,3,2024-12-02,Slovakia,Norway,15,38
2024,3,2024-12-02,Turkey,Sweden,19,47
2024,3,2024-12-02,North Macedonia,Hungary,19,29
2024,3,2024-12-02,Poland,Spain,26,23
