date,home,away,home_score,away_score
26.11. 17:00,Finland W,Slovakia W,25,37
26.11. 09:00,Romania W,Netherlands W,23,32
25.11. 16:00,Italy W,Turkey W,26,28
25.11. 14:00,North Macedonia W,Kosovo W,30,27
25.11. 09:00,South Korea W,Russia W,22,29
25.11. 07:10,Hungary W,Serbia W,23,25
24.11. 16:15,Poland W,Belarus W,34,29
24.11. 16:00,Turkey W,Kosovo W,34,28
24.11. 14:00,Italy W,Turkey B W,25,18
24.11. 14:00,Lithuania W,Ukraine W,22,27
24.11. 11:00,Slovenia W,France W,21,33
24.11. 08:30,Japan W,Brazil W,22,28
23.11. 18:15,Poland W,Ukraine W,30,17
23.11. 17:00,Hungary U20 W,Norway U20 W,25,28
23.11. 16:00,Kosovo W,Turkey B W,32,23
23.11. 16:00,Lithuania W,Belarus W,23,36
23.11. 15:00,Denmark U20 W,Romania U20 W,39,35
23.11. 14:00,Czech Republic W,Austria W,24,26
23.11. 14:00,Turkey W,North Macedonia W,42,33
23.11. 12:00,Switzerland W,Poland B W,22,25
23.11. 11:00,Japan W,France W,23,28
23.11. 09:00,South Korea W,Hungary W,25,31
23.11. 08:30,Slovenia W,Brazil W,33,29
23.11. 08:30,Turkey B W,North Macedonia W,19,37
23.11. 07:10,Serbia W,Russia W,25,43
23.11. 06:30,Kosovo W,Italy W,31,26
22.11. 19:00,Poland W,Lithuania W,37,19
22.11. 18:00,Czech Republic W,Poland B W,31,22
22.11. 17:00,Hungary U20 W,Denmark U20 W,35,38
22.11. 16:45,Ukraine W,Belarus W,22,31
22.11. 16:00,Austria W,Switzerland W,23,27
22.11. 16:00,North Macedonia W,Italy W,29,29
22.11. 15:00,Romania U20 W,Norway U20 W,21,32
22.11. 09:00,South Korea W,Serbia W,27,28
22.11. 07:10,Russia W,Hungary W,29,25
21.11. 19:00,Spain U20 W,Argentina W,19,26
21.11. 18:00,Germany W,Montenegro W,29,33
21.11. 18:00,Poland B W,Austria W,19,29
21.11. 17:00,Hungary U20 W,Romania U20 W,29,26
21.11. 16:00,Czech Republic W,Switzerland W,35,30
21.11. 15:00,Norway U20 W,Denmark U20 W,22,26
21.11. 11:00,Japan W,Slovenia W,28,28
21.11. 08:30,France W,Brazil W,33,22
26.10. 15:30,Germany W,Croatia W,32,23
23.10. 15:00,Croatia W,Germany W,21,21
29.09. 16:25,Norway W,Japan W,28,22
29.09. 14:00,Argentina W,Brazil W,20,27
27.09. 18:45,Japan W,Argentina W,27,18
27.09. 16:25,Norway W,Brazil W,29,24
26.09. 18:45,Brazil W,Japan W,26,26
26.09. 16:25,Norway W,Argentina W,37,23
23.08. 07:30,Zvenigorod W,Kazakhstan W,26,17
27.07. 14:30,Norway W,Denmark W,24,28
07.07. 16:30,Portugal U19 W,Spain U19 W,18,21
07.07. 14:30,France U19 W,Germany U19 W,27,19
06.07. 18:00,Portugal U19 W,Germany U19 W,14,21
06.07. 16:00,Spain U19 W,France U19 W,20,20
06.07. 10:00,Hungary U19 W,Poland U19 W,36,17
05.07. 18:00,Portugal U19 W,France U19 W,28,26
05.07. 16:00,Hungary U19 W,Poland U19 W,40,21
05.07. 16:00,Spain U19 W,Germany U19 W,25,24
30.06. 10:00,Norway U19 W,Denmark U19 W,25,22
30.06. 08:00,Netherlands U19 W,Croatia U19 W,33,23
30.06. 08:00,Sweden U19 W,Romania U19 W,21,18
29.06. 13:00,Norway U19 W,Sweden U19 W,37,28
29.06. 11:00,Romania U19 W,Denmark U19 W,25,29
29.06. 10:00,Hungary U19 W,Netherlands U19 W,34,32
29.06. 08:00,Slovakia U19 W,Croatia U19 W,15,29
28.06. 17:00,Norway U19 W,Romania U19 W,33,22
28.06. 16:00,Hungary U19 W,Croatia U19 W,31,22
28.06. 15:00,Denmark U19 W,Sweden U19 W,33,19
28.06. 14:00,Slovakia U19 W,Netherlands U19 W,24,26
27.06. 16:00,Hungary U19 W,Slovakia U19 W,39,19
02.06. 14:30,Romania W,Angola W,21,21
02.06. 12:00,Romania B W,Japan W,29,35
01.06. 14:30,Romania W,Japan W,28,27
01.06. 14:00,Netherlands W,Russia W,33,26
01.06. 12:00,Romania B W,Angola W,18,29
31.05. 17:30,Netherlands W,Russia W,30,31
31.05. 14:30,Romania W,Romania B W,36,28
31.05. 12:00,Angola W,Japan W,26,21
28.05. 17:15,Norway W,Sweden W,36,20
28.05. 14:00,Norway B W,Iceland W,26,24
24.03. 17:30,Slovakia W,Iceland W,28,30
24.03. 15:15,Poland W,Argentina W,26,23
24.03. 15:00,Croatia W,Slovenia W,28,27
24.03. 14:15,Hungary W,Japan W,33,21
24.03. 13:00,Austria W,Czech Republic W,25,28
24.03. 12:15,Poland B W,Romania B W,25,26
24.03. 10:00,Spain B W,Finland W,29,19
23.03. 19:30,Iceland W,Argentina W,31,26
23.03. 19:00,Croatia W,Austria W,21,22
23.03. 17:15,Poland W,Slovakia W,29,23
23.03. 17:00,Slovenia W,Czech Republic W,25,26
23.03. 16:00,Spain W,Brazil W,28,25
23.03. 15:45,Germany W,Netherlands W,29,28
23.03. 15:00,Sweden W,Russia W,28,26
23.03. 14:15,Poland B W,Spain B W,22,27
23.03. 14:00,Serbia W,Switzerland W,31,21
23.03. 12:00,Finland W,Romania B W,16,33
23.03. 11:00,North Macedonia W,Montenegro W,21,17
23.03. 08:30,Belarus W,Ukraine W,36,29
22.03. 19:30,Spain W,Serbia W,31,28
22.03. 19:00,Croatia W,Czech Republic W,30,24
22.03. 19:00,Sweden W,Russia W,27,24
22.03. 18:30,Argentina W,Slovakia W,27,33
22.03. 18:30,Netherlands W,Germany W,29,26
22.03. 17:30,Switzerland W,Brazil W,16,28
22.03. 17:00,Austria W,Slovenia W,23,23
22.03. 16:15,Poland W,Iceland W,21,19
22.03. 16:00,North Macedonia W,Montenegro W,21,22
22.03. 15:30,Belarus W,Ukraine W,36,28
22.03. 13:15,Poland B W,Finland W,27,18
22.03. 11:00,Romania B W,Spain B W,22,26
21.03. 19:00,Spain W,Switzerland W,35,18
21.03. 17:00,Brazil W,Serbia W,27,29
