date,division,game_nr,home,away,home_timediff,away_timediff
2026-01-18,1,1,Montenegro,Faroe Islands,2,2
2026-01-18,1,2,North Macedonia,Portugal,2,2
2026-01-18,1,3,Poland,Iceland,2,2
2026-01-18,1,4,Italy,Hungary,2,2
2026-01-18,1,5,Denmark,Romania,2,2
2026-01-18,1,6,Switzerland,Slovenia,2,2
2026-01-19,1,7,Austria,Serbia,2,2
2026-01-19,1,8,Czech Republic,Ukraine,2,2
2026-01-19,1,9,Netherlands,Croatia,2,2
2026-01-19,1,10,Norway,France,2,2
2026-01-19,1,11,Sweden,Georgia,2,2
2026-01-19,1,12,Germany,Spain,2,2
2026-01-20,1,13,Montenegro,Switzerland,2,2
2026-01-20,1,14,North Macedonia,Romania,2,2
2026-01-20,1,15,Poland,Italy,2,2
2026-01-20,1,16,Denmark,Portugal,2,2
2026-01-20,1,17,Hungary,Iceland,2,2
2026-01-20,1,18,Slovenia,Faroe Islands,2,2
2026-01-21,1,19,Netherlands,Georgia,2,2
2026-01-21,1,20,Sweden,Croatia,2,2
