variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
style_off[1],0.01753030344936225,0.0124898825,0.017284712242443993,0.01268371579566,8.901477630000001e-4,0.05233257509999999,1.0021021092895992,969.0066911742679,412.3778669576953
style_off[2],0.01727255154715875,0.0122729255,0.01716740281332788,0.0125404660941,7.468316370000002e-4,0.052789914849999973,1.0098117874854686,928.5885715238637,375.25543345585015
style_off[3],0.017643033820982625,0.013207892,0.017251958826163417,0.01236454915479,0.001037174205,0.052923578199999974,1.0007688792691412,867.8741883881617,474.31221454922303
style_off[4],0.0184527699682725,0.0128564485,0.01852314072893967,0.01292185486242,0.001005945601,0.05660306849999998,1.0008142781421467,1306.086400325127,500.71302736368546
style_off[5],0.01797424387901625,0.012700010500000001,0.0173199641545937,0.013585170769589998,0.00108552622,0.05462542725,0.9991249862523497,811.7557990997661,331.37045316142115
style_off[6],0.01858652941756125,0.012858333,0.018336900367082125,0.012926296287239998,0.001112483745,0.05807989789999998,1.0012911830825404,1121.210222775503,465.88973389343283
style_off[7],0.017039828567711,0.01164693,0.016977056913852668,0.0116728085439,0.001077532025,0.051073916049999994,0.9981941989355112,1259.553289417269,606.9454156726043
style_off[8],0.017502376215272876,0.0119776095,0.0180940641149127,0.01280577973626,9.321691815000001e-4,0.053770454649999994,1.0025812827875114,1255.5038686982891,565.4012161721726
style_off[9],0.018035223667705002,0.0131143245,0.01791373399471588,0.012822471662489999,0.0011775696800000002,0.0521856948,1.0052331231990739,1476.2465479495572,522.7337218485579
style_off[10],0.017678687135980625,0.012608022,0.016652736456228622,0.012920268109769999,8.908670335e-4,0.052011880649999974,1.0028219109391991,1147.795358661705,625.1940866500956
style_off[11],0.0178355021220695,0.012871173999999999,0.016409221993885326,0.012780904895850001,0.001047081965,0.04838994254999997,1.003188424977002,1028.7312028744882,491.1528938941981
style_off[12],0.01693941920659875,0.011277672499999999,0.018003825270357966,0.012902030350649999,4.410823480000001e-4,0.05244909399999999,0.9975541939871566,687.5933401905552,303.3408461824475
style_off[13],0.017885110278942375,0.011950736,0.019362977016119963,0.01264780284999,6.442324655e-4,0.05666680139999998,0.9997829767578345,680.1482221821636,229.0247376591784
