date,division,game_nr,home,away,home_timediff,away_timediff
2026-01-21,1,1,Netherlands,Georgia,2,2
2026-01-21,1,2,Sweden,Croatia,2,2
2026-01-22,1,3,Germany,Portugal,3,2
2026-01-22,1,4,Norway,Spain,3,3
2026-01-22,1,5,Denmark,France,2,3
2026-01-23,1,6,Switzerland,Hungary,3,3
2026-01-24,1,7,France,Portugal,2,2
2026-01-24,1,8,Denmark,Spain,2,2
2026-01-24,1,9,Norway,Germany,2,2
2026-01-25,1,10,Slovenia,Hungary,5,2
2026-01-26,1,11,Norway,Portugal,2,2
2026-01-26,1,12,Spain,France,2,2
2026-01-26,1,13,Denmark,Germany,2,2
2026-01-27,1,14,Switzerland,Iceland,4,7
2026-01-28,1,15,Spain,Portugal,2,2
2026-01-28,1,16,Germany,France,2,2
2026-01-28,1,17,Slovenia,Iceland,3,1
2026-01-28,1,18,Norway,Denmark,2,2
