date,home,away,home_score,away_score
16.12. 16:30,Russia W,France W,21,24
16.12. 13:00,Romania W,Netherlands W,20,24
14.12. 20:00,Netherlands W,France W,21,27
14.12. 16:30,Russia W,Romania W,28,22
14.12. 13:00,Sweden W,Norway W,29,38
12.12. 20:00,Netherlands W,Germany W,27,21
12.12. 20:00,Serbia W,France W,28,38
12.12. 17:00,Hungary W,Romania W,31,29
12.12. 17:00,Sweden W,Russia W,39,30
12.12. 14:45,Denmark W,Montenegro W,24,23
12.12. 14:45,Spain W,Norway W,26,33
11.12. 20:00,Netherlands W,Norway W,16,29
11.12. 17:00,Spain W,Romania W,25,27
10.12. 20:00,Serbia W,Montenegro W,27,28
10.12. 17:00,Denmark W,Russia W,21,32
09.12. 17:00,Netherlands W,Romania W,29,24
09.12. 17:00,Serbia W,Russia W,25,29
09.12. 14:00,Hungary W,Germany W,26,25
09.12. 14:00,Sweden W,France W,21,21
07.12. 20:00,Hungary W,Norway W,25,38
07.12. 17:00,Spain W,Germany W,23,29
06.12. 20:00,Sweden W,Montenegro W,28,30
06.12. 17:00,Denmark W,France W,23,29
05.12. 20:00,Hungary W,Spain W,32,26
05.12. 20:00,Norway W,Romania W,23,31
05.12. 17:00,Germany W,Czech Republic W,30,28
05.12. 17:00,Netherlands W,Croatia W,34,23
04.12. 20:00,Denmark W,Serbia W,25,30
04.12. 20:00,France W,Montenegro W,25,20
04.12. 17:00,Russia W,Slovenia W,27,29
04.12. 17:00,Sweden W,Poland W,23,22
03.12. 20:00,Czech Republic W,Norway W,17,31
03.12. 20:00,Netherlands W,Spain W,28,27
03.12. 17:00,Croatia W,Hungary W,18,24
03.12. 17:00,Germany W,Romania W,24,29
02.12. 17:00,Russia W,Montenegro W,24,23
02.12. 17:00,Sweden W,Serbia W,22,21
02.12. 14:00,Poland W,Denmark W,21,28
02.12. 14:00,Slovenia W,France W,21,30
01.12. 17:00,Romania W,Czech Republic W,31,28
01.12. 17:00,Spain W,Croatia W,25,18
01.12. 14:00,Hungary W,Netherlands W,25,28
01.12. 14:00,Norway W,Germany W,32,33
30.11. 20:00,Denmark W,Sweden W,30,29
30.11. 20:00,Montenegro W,Slovenia W,36,32
30.11. 17:00,Serbia W,Poland W,33,26
29.11. 20:00,France W,Russia W,23,26
03.06. 17:00,Czech Republic W,Slovenia W,30,30
03.06. 16:30,Poland W,Slovakia W,26,21
03.06. 16:00,Serbia W,North Macedonia W,35,30
