date,home,away,home_score,away_score
08.08. 06:00,ROC W,France W,25,30
08.08. 02:00,Norway W,Sweden W,36,19
06.08. 12:00,Norway W,ROC W,26,27
06.08. 08:00,France W,Sweden W,29,27
04.08. 11:45,France W,Netherlands W,32,22
04.08. 08:00,Sweden W,South Korea W,39,30
04.08. 04:15,Norway W,Hungary W,26,22
04.08. 00:30,Montenegro W,ROC W,26,32
02.08. 12:30,Norway W,Japan W,37,25
02.08. 10:30,Netherlands W,Montenegro W,30,29
02.08. 07:15,Hungary W,Sweden W,26,23
02.08. 05:15,Spain W,ROC W,31,34
02.08. 02:00,France W,Brazil W,29,22
02.08. 00:00,South Korea W,Angola W,31,31
31.07. 12:30,Norway W,Netherlands W,29,27
31.07. 10:30,Hungary W,Spain W,29,25
31.07. 07:15,Brazil W,Sweden W,31,34
31.07. 05:15,ROC W,France W,28,27
31.07. 02:00,Montenegro W,South Korea W,28,26
31.07. 00:00,Angola W,Japan W,28,25
29.07. 12:30,Sweden W,France W,28,28
29.07. 10:30,Hungary W,ROC W,31,38
29.07. 07:15,Montenegro W,Norway W,23,35
29.07. 05:15,Japan W,South Korea W,24,27
29.07. 02:00,Spain W,Brazil W,27,23
29.07. 00:00,Netherlands W,Angola W,37,28
27.07. 12:30,France W,Spain W,25,28
27.07. 10:30,Angola W,Norway W,21,30
27.07. 07:15,South Korea W,Netherlands W,36,43
27.07. 05:15,Sweden W,ROC W,36,24
27.07. 02:00,Brazil W,Hungary W,33,27
27.07. 00:00,Japan W,Montenegro W,29,26
25.07. 12:30,Hungary W,France W,29,30
25.07. 10:30,Spain W,Sweden W,24,31
25.07. 07:15,Norway W,South Korea W,39,27
25.07. 05:15,Montenegro W,Angola W,33,22
25.07. 02:00,ROC W,Brazil W,24,24
25.07. 00:00,Netherlands W,Japan W,32,21
21.03. 19:30,Hungary W,Russia W,23,29
21.03. 18:30,Argentina W,Spain W,16,31
21.03. 16:30,Serbia W,Kazakhstan W,42,30
21.03. 15:00,Montenegro W,Romania W,25,28
20.03. 19:30,Russia W,Kazakhstan W,33,26
20.03. 18:30,Norway W,Romania W,29,24
20.03. 17:15,Sweden W,Argentina W,34,21
20.03. 16:30,Serbia W,Hungary W,23,31
19.03. 20:00,Spain W,Sweden W,28,28
19.03. 19:00,Russia W,Serbia W,29,24
19.03. 18:30,Norway W,Montenegro W,23,28
19.03. 16:00,Kazakhstan W,Hungary W,19,46
29.09. 16:00,Senegal W,Angola W,14,22
29.09. 10:00,China W,South Korea W,20,32
29.09. 06:00,Hong Kong W,North Korea W,14,38
29.09. 06:00,Thailand W,Kazakhstan W,17,35
27.09. 16:00,D.R. Congo W,Senegal W,18,29
27.09. 10:00,Kazakhstan W,China W,19,26
27.09. 08:00,Hong Kong W,South Korea W,13,41
27.09. 06:00,North Korea W,Thailand W,36,16
26.09. 16:00,Angola W,D.R. Congo W,29,21
26.09. 10:00,China W,Hong Kong W,34,10
26.09. 08:00,Kazakhstan W,North Korea W,24,22
26.09. 06:00,Thailand W,South Korea W,14,40
24.09. 10:00,North Korea W,China W,25,22
24.09. 08:00,Hong Kong W,Thailand W,33,22
24.09. 06:00,South Korea W,Kazakhstan W,29,25
23.09. 10:00,China W,Thailand W,36,17
23.09. 08:00,South Korea W,North Korea W,39,21
23.09. 06:00,Kazakhstan W,Hong Kong W,30,16
