season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2016,4,2016-07-28,Brazil,Netherlands,29,27,101,0,0
2016,4,2016-07-31,Brazil,Netherlands,23,23,102,0,0
2016,4,2016-08-02,Brazil,Argentina,24,14,103,0,0
2016,4,2016-08-03,Spain,Sweden,17,18,104,0,0
2016,5,2016-08-06,Romania,Angola,19,23,105,0,0
2016,5,2016-08-06,Montenegro,Spain,19,25,106,0,0
2016,5,2016-08-06,Russia,South Korea,30,25,107,0,0
2016,5,2016-08-06,Netherlands,France,14,18,108,0,0
2016,5,2016-08-06,Norway,Brazil,28,31,109,0,0
2016,5,2016-08-07,Sweden,Argentina,31,21,110,0,0
2016,5,2016-08-08,Argentina,Netherlands,18,26,111,0,0
2016,5,2016-08-08,Brazil,Romania,26,13,112,0,0
2016,5,2016-08-08,Spain,Norway,24,27,113,0,0
2016,5,2016-08-08,France,Russia,25,26,114,0,0
2016,5,2016-08-08,South Korea,Sweden,28,31,115,0,0
2016,5,2016-08-09,Angola,Montenegro,27,25,116,0,0
2016,5,2016-08-10,Netherlands,South Korea,32,32,117,0,0
2016,5,2016-08-10,Norway,Angola,30,20,118,0,0
2016,5,2016-08-10,Russia,Sweden,36,34,119,0,0
2016,5,2016-08-10,Romania,Montenegro,25,21,120,0,0
2016,5,2016-08-10,Brazil,Spain,24,29,121,0,0
2016,5,2016-08-11,France,Argentina,27,11,122,0,0
2016,5,2016-08-12,Russia,Argentina,35,29,123,0,0
2016,5,2016-08-12,Montenegro,Norway,19,28,124,0,0
2016,5,2016-08-12,Romania,Spain,24,21,125,0,0
2016,5,2016-08-12,Sweden,Netherlands,29,29,126,0,0
2016,5,2016-08-12,Angola,Brazil,24,28,127,0,0
2016,5,2016-08-13,South Korea,France,17,21,128,0,0
2016,5,2016-08-14,Spain,Angola,26,22,129,0,0
2016,5,2016-08-14,Norway,Romania,28,27,130,0,0
2016,5,2016-08-14,Netherlands,Russia,34,38,131,0,0
2016,5,2016-08-14,Sweden,France,25,27,132,0,0
2016,5,2016-08-14,Montenegro,Brazil,23,29,133,0,0
2016,5,2016-08-15,Argentina,South Korea,22,28,134,0,0
