season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2015,4,2015-03-19,Turkey,Austria,32,32,1,0,0,7,7,1,1,1,43,3
2015,4,2015-03-19,Czech Republic,Belarus,31,26,2,0,0,7,7,1,1,1,9,4
2015,4,2015-03-20,Czech Republic,Austria,31,25,3,0,0,1,1,2,2,0,9,3
2015,4,2015-03-20,Netherlands,Slovakia,33,27,4,0,0,7,7,1,1,1,26,36
2015,4,2015-03-20,Serbia,Slovenia,30,22,5,0,0,7,7,1,1,1,35,37
2015,4,2015-03-20,Romania,Brazil,27,19,6,0,0,7,7,1,1,1,32,5
2015,4,2015-03-20,Turkey,Belarus,28,38,7,0,0,1,1,2,2,0,43,4
2015,4,2015-03-20,Sweden,Germany,33,32,8,0,0,7,7,1,1,1,40,14
2015,4,2015-03-20,Switzerland,Iceland,25,21,9,0,0,7,7,1,1,1,41,17
2015,4,2015-03-21,Portugal,Italy,23,20,10,0,0,7,7,1,1,1,31,20
2015,4,2015-03-21,Romania,Sweden,17,26,11,0,0,1,1,2,2,0,32,40
2015,4,2015-03-21,Switzerland,Iceland,24,28,12,0,0,1,1,2,2,0,41,17
2015,4,2015-03-21,Germany,Brazil,25,20,13,0,0,1,1,2,2,0,14,5
2015,4,2015-03-21,Czech Republic,Turkey,36,25,14,0,0,1,1,3,3,0,9,43
2015,4,2015-03-21,Netherlands,Slovakia,29,26,15,0,0,1,1,2,2,0,26,36
2015,4,2015-03-21,Austria,Belarus,30,28,16,0,0,1,1,3,3,0,3,4
2015,4,2015-03-21,Hungary,Spain,25,25,17,0,0,7,7,1,1,1,16,39
2015,4,2015-03-21,Serbia,Slovenia,28,30,18,0,0,1,1,2,2,0,35,37
2015,4,2015-05-30,Poland,Iceland,25,18,19,0,0,7,70,1,3,1,30,17
2015,4,2015-05-31,Germany,Netherlands,31,29,20,0,0,71,71,3,3,0,14,26
2015,4,2015-06-01,Montenegro,Russia,27,23,21,0,0,7,7,1,1,1,25,33
2015,4,2015-06-01,Slovakia,Japan,28,23,22,0,0,72,7,3,1,0,36,21
2015,4,2015-06-02,Sweden,Netherlands,30,20,23,0,0,73,2,3,4,0,40,26
2015,4,2015-06-02,Czech Republic,Slovakia,21,22,24,0,0,73,1,4,4,0,9,36
2015,4,2015-06-03,Japan,Ukraine,23,26,25,0,0,2,7,2,1,0,21,44
2015,4,2015-06-12,Brazil,Norway,21,25,26,0,0,83,7,3,1,0,5,28
2015,4,2015-06-14,Brazil,Norway,18,12,27,0,0,2,2,4,2,0,5,28
2015,4,2015-08-07,Hungary,Japan,34,18,28,0,0,100,65,2,3,0,16,21
