date,home,away,home_score,away_score
25.11. 19:00,Spain W,Brazil W,28,28
25.11. 17:00,Poland W,Germany W,27,28
25.11. 15:30,Sweden W,Montenegro W,30,32
24.11. 20:00,Germany W,Spain W,20,22
24.11. 18:00,Brazil W,Poland W,26,32
24.11. 16:30,Romania W,Romania B W,33,24
24.11. 14:00,Czech Republic W,Slovakia W,22,20
24.11. 14:00,Russia W,Serbia W,33,32
24.11. 12:00,Switzerland W,Croatia W,18,25
24.11. 11:00,Ukraine W,Austria W,34,32
23.11. 20:00,Spain W,Poland W,23,16
23.11. 18:00,Brazil W,Germany W,20,19
23.11. 18:00,Czech Republic W,Croatia W,21,19
23.11. 18:00,Sweden W,Montenegro W,28,30
23.11. 16:30,Romania W,Serbia W,29,26
23.11. 16:00,Switzerland W,Slovakia W,22,35
23.11. 14:00,Romania B W,Russia W,25,24
22.11. 18:00,Croatia W,Slovakia W,22,20
22.11. 16:00,Czech Republic W,Switzerland W,34,25
22.11. 14:00,Austria W,Spain B W,30,32
22.11. 14:00,Norway B W,Iceland W,29,23
21.11. 18:30,Netherlands W,Angola W,32,29
20.11. 10:30,Greece W,Israel W,26,26
19.11. 15:00,Greece W,Israel W,25,21
30.09. 13:00,Germany W,Russia W,33,36
29.09. 17:00,Slovenia W,Serbia W,27,35
29.09. 16:00,Belarus W,Ukraine W,27,31
29.09. 16:00,Iceland W,Sweden W,20,33
29.09. 15:00,Spain W,Austria W,28,26
29.09. 13:30,Hungary W,Montenegro W,19,23
29.09. 13:00,Germany W,Russia W,31,35
29.09. 09:00,Slovakia W,Czech Republic W,22,22
28.09. 17:30,Netherlands W,Japan W,28,17
28.09. 16:00,Belarus W,Ukraine W,25,28
28.09. 16:00,Slovakia W,Czech Republic W,22,26
28.09. 15:30,Hungary W,Montenegro W,29,25
28.09. 14:45,Spain W,Austria W,32,22
27.09. 19:30,Iceland W,Sweden W,25,26
27.09. 17:30,Netherlands W,Japan W,38,26
27.09. 14:30,North Macedonia W,Italy W,26,23
26.09. 16:30,Spain W,Argentina W,33,19
26.09. 16:00,Slovenia W,Serbia W,34,31
29.06. 08:30,Croatia U20 W,Montenegro U20 W,26,23
28.06. 16:30,Croatia U20 W,Montenegro U20 W,23,20
25.06. 16:30,Croatia U20 W,Slovenia U20 W,29,18
25.06. 10:00,South Korea W,Japan W,27,20
24.06. 10:30,Norway U20 W,Romania U20 W,27,27
24.06. 08:00,Denmark U20 W,Sweden U20 W,28,24
23.06. 13:00,Norway U20 W,Sweden U20 W,27,22
23.06. 11:00,Romania U20 W,Denmark U20 W,25,28
23.06. 10:00,Hungary U20 W,Slovenia U20 W,34,22
23.06. 05:00,Japan W,Poland W,26,20
22.06. 17:00,Norway U20 W,Denmark U20 W,23,23
22.06. 16:00,Hungary U20 W,Slovenia U20 W,29,17
22.06. 15:00,Sweden U20 W,Romania U20 W,24,27
21.06. 11:00,South Korea W,Ukraine W,34,30
20.06. 09:20,Sweden W,South Korea W,28,34
19.06. 11:00,Sweden W,Ukraine W,31,28
18.06. 10:30,Sweden W,South Korea W,28,35
17.06. 09:00,Slovenia U20 W,Croatia U20 W,31,29
17.06. 03:00,South Korea W,Ukraine W,36,20
16.06. 05:00,Sweden W,Ukraine W,27,27
06.06. 15:30,Germany W,Poland W,30,29
25.03. 14:00,France W,Brazil W,24,24
22.03. 18:00,France W,Brazil W,28,17
