date,home,away
28.01. 14:30,Slovenia,Iceland
28.01. 14:30,Spain,Portugal
28.01. 17:00,Croatia,Hungary
28.01. 17:00,Germany,France
28.01. 19:30,Denmark,Norway
28.01. 19:30,Switzerland,Sweden
