date,home,away,home_score,away_score
29.11. 11:00,Serbia W,North Macedonia W,20,19
28.11. 16:00,France W,Hungary W,29,28
28.11. 15:00,Denmark W,Ukraine W,35,20
28.11. 15:00,Sweden W,Montenegro W,38,24
28.11. 12:00,Spain W,Germany W,23,22
28.11. 10:00,Slovakia W,Poland W,24,35
27.11. 17:10,Austria W,Portugal W,30,31
27.11. 17:00,Spain W,Poland W,32,25
27.11. 16:30,Serbia W,North Macedonia W,33,25
27.11. 15:00,Germany W,Slovakia W,32,25
27.11. 13:00,Czech Republic W,Iceland W,27,25
27.11. 13:00,Denmark W,Ukraine W,35,18
27.11. 11:00,Norway B W,Switzerland W,27,22
26.11. 20:15,Spain W,Slovakia W,35,15
26.11. 20:00,France W,Hungary W,33,28
26.11. 19:00,Switzerland W,Iceland W,22,30
26.11. 18:00,Poland W,Germany W,27,31
26.11. 17:30,Sweden W,Montenegro W,38,24
26.11. 17:00,Czech Republic W,Norway B W,25,26
25.11. 17:10,Austria W,Portugal W,25,26
07.11. 16:30,Germany W,Russia W,28,27
22.07. 10:30,France W,Montenegro W,32,31
20.07. 08:00,Norway W,Sweden W,32,25
19.07. 06:00,Japan W,France W,20,41
12.07. 14:00,Hungary W,Brazil W,24,23
11.07. 16:30,Spain W,Romania W,32,19
09.07. 16:30,Hungary W,Brazil W,34,31
06.07. 17:00,France W,Norway W,28,28
06.07. 16:15,Hungary W,Montenegro W,28,22
04.07. 19:00,France W,Norway W,21,30
04.07. 16:10,Netherlands W,Sweden W,23,28
03.07. 12:00,Sweden W,Russia W,31,28
02.07. 17:00,Netherlands W,Russia W,30,29
02.07. 11:00,Denmark U19 W,Norway U19 W,27,20
02.07. 08:30,Sweden U19 W,Hungary U19 W,36,31
30.06. 16:30,Denmark U19 W,Sweden U19 W,26,25
30.06. 14:30,Norway U19 W,Hungary U19 W,25,23
17.04. 14:10,Denmark W,Spain W,27,23
16.04. 18:00,Croatia W,Brazil W,24,21
15.04. 18:15,Denmark W,Spain W,30,27
15.04. 16:00,Netherlands W,Brazil W,19,25
14.04. 18:00,Croatia W,Netherlands W,24,23
14.04. 09:00,Belarus W,Ukraine W,29,21
13.04. 14:00,Belarus W,Ukraine W,24,27
20.03. 16:00,France W,Denmark W,24,23
19.03. 17:00,Poland W,Czech Republic W,28,28
18.03. 18:00,France W,Denmark W,26,22
18.03. 17:00,Poland W,Czech Republic W,24,21
