iteration,game_nr,division,date,home,away,home_goals,away_goals
10,4,1,2026-01-28,Slovenia,Iceland,27.655483,24.644122
10,5,1,2026-01-28,Spain,Portugal,28.294542,34.077941
10,6,1,2026-01-28,Croatia,Hungary,26.213862,24.844708
10,7,1,2026-01-28,Germany,France,27.320231,31.761756
10,8,1,2026-01-28,Denmark,Norway,40.067818,24.929615
10,9,1,2026-01-28,Sweden,Switzerland,30.861054,25.702486
11,1,1,2026-01-27,Switzerland,Iceland,23.083819,33.92571
11,2,1,2026-01-27,Slovenia,Croatia,26.112561,24.939534
11,3,1,2026-01-27,Sweden,Hungary,29.785797,24.636926
11,4,1,2026-01-28,Slovenia,Iceland,32.994709,32.574868
11,5,1,2026-01-28,Spain,Portugal,34.457717,28.339042
11,6,1,2026-01-28,Croatia,Hungary,30.863179,27.110189
11,7,1,2026-01-28,Germany,France,29.152292,37.896201
11,8,1,2026-01-28,Denmark,Norway,29.252606,27.207149
11,9,1,2026-01-28,Sweden,Switzerland,34.724761,24.822762
12,1,1,2026-01-27,Switzerland,Iceland,29.168041,34.476299
12,2,1,2026-01-27,Slovenia,Croatia,26.268889,28.0408
12,3,1,2026-01-27,Sweden,Hungary,28.142101,29.365162
12,4,1,2026-01-28,Slovenia,Iceland,28.537944,31.005926
12,5,1,2026-01-28,Spain,Portugal,29.709391,31.482124
12,6,1,2026-01-28,Croatia,Hungary,29.539933,33.966123
12,7,1,2026-01-28,Germany,France,33.278476,32.892497
12,8,1,2026-01-28,Denmark,Norway,38.030002,26.734176
12,9,1,2026-01-28,Sweden,Switzerland,39.941055,31.687035
13,1,1,2026-01-27,Switzerland,Iceland,22.601775,28.773064
13,2,1,2026-01-27,Slovenia,Croatia,34.114286,32.414853
13,3,1,2026-01-27,Sweden,Hungary,34.289343,27.172581
13,4,1,2026-01-28,Slovenia,Iceland,27.371829,28.428282
13,5,1,2026-01-28,Spain,Portugal,38.805807,28.353589
13,6,1,2026-01-28,Croatia,Hungary,32.986707,30.168306
13,7,1,2026-01-28,Germany,France,29.65458,28.971603000000002
13,8,1,2026-01-28,Denmark,Norway,36.220563,34.406133
13,9,1,2026-01-28,Sweden,Switzerland,34.717043,17.489106
14,1,1,2026-01-27,Switzerland,Iceland,26.230383,30.10824
14,2,1,2026-01-27,Slovenia,Croatia,21.482538,29.553999
14,3,1,2026-01-27,Sweden,Hungary,28.277374,32.621685
14,4,1,2026-01-28,Slovenia,Iceland,29.90492,35.451171
14,5,1,2026-01-28,Spain,Portugal,33.781958,29.210304
14,6,1,2026-01-28,Croatia,Hungary,17.781978,29.499158
14,7,1,2026-01-28,Germany,France,33.827722,35.239603
14,8,1,2026-01-28,Denmark,Norway,26.144492,24.626093
14,9,1,2026-01-28,Sweden,Switzerland,30.217978,28.341779
15,1,1,2026-01-27,Switzerland,Iceland,18.809139,28.218074
15,2,1,2026-01-27,Slovenia,Croatia,28.605352,37.318895
15,3,1,2026-01-27,Sweden,Hungary,36.078708,32.970346
15,4,1,2026-01-28,Slovenia,Iceland,25.678617,28.827972
15,5,1,2026-01-28,Spain,Portugal,32.024294,27.515982
15,6,1,2026-01-28,Croatia,Hungary,29.748727,27.562324
15,7,1,2026-01-28,Germany,France,32.60757,31.933333
15,8,1,2026-01-28,Denmark,Norway,36.054697,26.567895
15,9,1,2026-01-28,Sweden,Switzerland,37.127123,30.293793
16,1,1,2026-01-27,Switzerland,Iceland,21.695894,26.325434
16,2,1,2026-01-27,Slovenia,Croatia,27.842818,28.522103
16,3,1,2026-01-27,Sweden,Hungary,34.843711,31.666047
16,4,1,2026-01-28,Slovenia,Iceland,25.355909,29.291885
16,5,1,2026-01-28,Spain,Portugal,29.921346,33.743508
16,6,1,2026-01-28,Croatia,Hungary,32.316677,27.151704
16,7,1,2026-01-28,Germany,France,29.009971,35.891532
16,8,1,2026-01-28,Denmark,Norway,34.450537,28.535428
16,9,1,2026-01-28,Sweden,Switzerland,29.732332,21.843046
17,1,1,2026-01-27,Switzerland,Iceland,25.853733,28.253489
17,2,1,2026-01-27,Slovenia,Croatia,26.380863,32.428802
17,3,1,2026-01-27,Sweden,Hungary,39.313255,28.138155
17,4,1,2026-01-28,Slovenia,Iceland,23.354796,31.695062
17,5,1,2026-01-28,Spain,Portugal,30.571911,35.285257
17,6,1,2026-01-28,Croatia,Hungary,29.599079,32.631152
17,7,1,2026-01-28,Germany,France,31.788651,34.745385
17,8,1,2026-01-28,Denmark,Norway,35.10971,27.120165
17,9,1,2026-01-28,Sweden,Switzerland,30.470382,26.019242
18,1,1,2026-01-27,Switzerland,Iceland,21.144476,28.731186
18,2,1,2026-01-27,Slovenia,Croatia,25.419225,24.033647
18,3,1,2026-01-27,Sweden,Hungary,40.234268,28.749314
18,4,1,2026-01-28,Slovenia,Iceland,26.264663,26.58719
18,5,1,2026-01-28,Spain,Portugal,38.213622,31.998504
18,6,1,2026-01-28,Croatia,Hungary,27.030426,25.422262
18,7,1,2026-01-28,Germany,France,34.745359,38.273252
18,8,1,2026-01-28,Denmark,Norway,27.94809,23.96366
18,9,1,2026-01-28,Sweden,Switzerland,39.820822,26.023291
19,1,1,2026-01-27,Switzerland,Iceland,24.419209,28.129667
19,2,1,2026-01-27,Slovenia,Croatia,26.121784,30.018809
19,3,1,2026-01-27,Sweden,Hungary,36.880392,35.359691
19,4,1,2026-01-28,Slovenia,Iceland,24.049781,33.777603
19,5,1,2026-01-28,Spain,Portugal,31.26954,30.66747
19,6,1,2026-01-28,Croatia,Hungary,39.442973,29.328309
19,7,1,2026-01-28,Germany,France,33.505559,34.004615
19,8,1,2026-01-28,Denmark,Norway,36.275145,30.352270999999998
19,9,1,2026-01-28,Sweden,Switzerland,41.591795,34.928677
20,1,1,2026-01-27,Switzerland,Iceland,22.778286,30.288542
20,2,1,2026-01-27,Slovenia,Croatia,33.791421,28.413046
20,3,1,2026-01-27,Sweden,Hungary,35.936525,33.069458
20,4,1,2026-01-28,Slovenia,Iceland,30.051262,35.821825
20,5,1,2026-01-28,Spain,Portugal,30.131009,32.677855
20,6,1,2026-01-28,Croatia,Hungary,26.939995,28.516321
20,7,1,2026-01-28,Germany,France,31.114736,29.936988
20,8,1,2026-01-28,Denmark,Norway,29.363903,20.302543
20,9,1,2026-01-28,Sweden,Switzerland,36.941109,31.939357
21,1,1,2026-01-27,Switzerland,Iceland,29.832702,36.233126
21,2,1,2026-01-27,Slovenia,Croatia,25.355959,40.809552
21,3,1,2026-01-27,Sweden,Hungary,36.182481,29.138201
21,4,1,2026-01-28,Slovenia,Iceland,28.683441,33.094105
21,5,1,2026-01-28,Spain,Portugal,32.070918,34.225633
21,6,1,2026-01-28,Croatia,Hungary,30.180336,30.883136
21,7,1,2026-01-28,Germany,France,27.462928,27.367844
21,8,1,2026-01-28,Denmark,Norway,30.218876,26.509272
21,9,1,2026-01-28,Sweden,Switzerland,33.204108,26.438668
22,1,1,2026-01-27,Switzerland,Iceland,27.11214,40.071959
22,2,1,2026-01-27,Slovenia,Croatia,38.346085,32.249875
22,3,1,2026-01-27,Sweden,Hungary,31.578185,22.435192
22,4,1,2026-01-28,Slovenia,Iceland,20.990957,32.73588
22,5,1,2026-01-28,Spain,Portugal,29.845849,31.462338
22,6,1,2026-01-28,Croatia,Hungary,24.900518,19.993486
22,7,1,2026-01-28,Germany,France,31.55457,32.762064
22,8,1,2026-01-28,Denmark,Norway,34.279905,24.837182
22,9,1,2026-01-28,Sweden,Switzerland,32.592316,27.741125
23,1,1,2026-01-27,Switzerland,Iceland,28.045882,41.457847
23,2,1,2026-01-27,Slovenia,Croatia,35.691279,33.600988
23,3,1,2026-01-27,Sweden,Hungary,33.232239,27.161692
23,4,1,2026-01-28,Slovenia,Iceland,26.292194,27.778289
23,5,1,2026-01-28,Spain,Portugal,38.243937,30.783345
23,6,1,2026-01-28,Croatia,Hungary,31.930799,33.718475
23,7,1,2026-01-28,Germany,France,32.321177,29.806642
23,8,1,2026-01-28,Denmark,Norway,34.728895,28.344355
23,9,1,2026-01-28,Sweden,Switzerland,31.946927,27.111659
24,1,1,2026-01-27,Switzerland,Iceland,19.482554,30.223708
24,2,1,2026-01-27,Slovenia,Croatia,36.657144,34.80035
24,3,1,2026-01-27,Sweden,Hungary,36.823141,23.986774
24,4,1,2026-01-28,Slovenia,Iceland,33.718355,32.558989
24,5,1,2026-01-28,Spain,Portugal,39.223831,31.025218
24,6,1,2026-01-28,Croatia,Hungary,28.467716,24.367133
24,7,1,2026-01-28,Germany,France,28.195148,34.451154
24,8,1,2026-01-28,Denmark,Norway,29.001556,25.297834
24,9,1,2026-01-28,Sweden,Switzerland,36.331113,27.648866
25,1,1,2026-01-27,Switzerland,Iceland,35.101748,38.262724
25,2,1,2026-01-27,Slovenia,Croatia,33.510562,29.639998
25,3,1,2026-01-27,Sweden,Hungary,26.850351,28.116693
25,4,1,2026-01-28,Slovenia,Iceland,27.340978,30.527085
25,5,1,2026-01-28,Spain,Portugal,32.760614,27.917529
25,6,1,2026-01-28,Croatia,Hungary,32.98889,33.146062
25,7,1,2026-01-28,Germany,France,35.360554,25.506119
25,8,1,2026-01-28,Denmark,Norway,38.746989,28.467629
25,9,1,2026-01-28,Sweden,Switzerland,34.881484,27.283389
26,1,1,2026-01-27,Switzerland,Iceland,33.008936,29.641797
26,2,1,2026-01-27,Slovenia,Croatia,32.050178,38.164381
26,3,1,2026-01-27,Sweden,Hungary,33.818079,34.326076
26,4,1,2026-01-28,Slovenia,Iceland,31.416858,26.018853
26,5,1,2026-01-28,Spain,Portugal,32.093578,33.278835
26,6,1,2026-01-28,Croatia,Hungary,32.431658,31.524489
26,7,1,2026-01-28,Germany,France,29.137321,35.918692
26,8,1,2026-01-28,Denmark,Norway,35.071454,28.570595
26,9,1,2026-01-28,Sweden,Switzerland,34.103139,27.088945
27,1,1,2026-01-27,Switzerland,Iceland,22.017198,31.184744
27,2,1,2026-01-27,Slovenia,Croatia,22.157241,26.870385
27,3,1,2026-01-27,Sweden,Hungary,34.074567,27.025995
27,4,1,2026-01-28,Slovenia,Iceland,26.873917,32.640637
27,5,1,2026-01-28,Spain,Portugal,34.930539,28.518174
27,6,1,2026-01-28,Croatia,Hungary,32.944531,24.699138
27,7,1,2026-01-28,Germany,France,25.176625,29.109651
27,8,1,2026-01-28,Denmark,Norway,32.800966,28.842919
27,9,1,2026-01-28,Sweden,Switzerland,35.793074,29.698629
28,1,1,2026-01-27,Switzerland,Iceland,33.437581,33.904779
28,2,1,2026-01-27,Slovenia,Croatia,27.305357,30.310151
28,3,1,2026-01-27,Sweden,Hungary,33.280425,30.551799
28,4,1,2026-01-28,Slovenia,Iceland,30.433212,30.021651
28,5,1,2026-01-28,Spain,Portugal,25.309327,39.89511
28,6,1,2026-01-28,Croatia,Hungary,29.722572,24.722521
28,7,1,2026-01-28,Germany,France,31.058441,35.030315
28,8,1,2026-01-28,Denmark,Norway,31.070537,27.564517
28,9,1,2026-01-28,Sweden,Switzerland,44.722593,32.326566
29,1,1,2026-01-27,Switzerland,Iceland,27.677852,33.533054
29,2,1,2026-01-27,Slovenia,Croatia,60.550024,43.133827
29,3,1,2026-01-27,Sweden,Hungary,35.068397,25.088248
29,4,1,2026-01-28,Slovenia,Iceland,28.394661,24.414298
29,5,1,2026-01-28,Spain,Portugal,34.235207,32.153734
29,6,1,2026-01-28,Croatia,Hungary,31.445881,26.040455
29,7,1,2026-01-28,Germany,France,32.283915,36.053817
29,8,1,2026-01-28,Denmark,Norway,22.746145,22.444521
29,9,1,2026-01-28,Sweden,Switzerland,38.865153,22.795337
30,1,1,2026-01-27,Switzerland,Iceland,25.517373,29.491924
30,2,1,2026-01-27,Slovenia,Croatia,29.838931,29.33135
30,3,1,2026-01-27,Sweden,Hungary,28.49176,26.063951
30,4,1,2026-01-28,Slovenia,Iceland,33.213217,28.339138
30,5,1,2026-01-28,Spain,Portugal,35.685165,26.977793
30,6,1,2026-01-28,Croatia,Hungary,22.74942,27.088907
30,7,1,2026-01-28,Germany,France,32.698125,32.631115
30,8,1,2026-01-28,Denmark,Norway,38.577727,32.922632
30,9,1,2026-01-28,Sweden,Switzerland,32.42463,24.69917
31,1,1,2026-01-27,Switzerland,Iceland,20.775507,35.659722
31,2,1,2026-01-27,Slovenia,Croatia,34.883691,34.892623
31,3,1,2026-01-27,Sweden,Hungary,38.901548,34.458676
31,4,1,2026-01-28,Slovenia,Iceland,34.784143,27.358007
31,5,1,2026-01-28,Spain,Portugal,30.253836,34.480108
31,6,1,2026-01-28,Croatia,Hungary,30.328018,30.230551
31,7,1,2026-01-28,Germany,France,32.887383,37.29141
31,8,1,2026-01-28,Denmark,Norway,33.947978,24.299093
31,9,1,2026-01-28,Sweden,Switzerland,39.345752,28.213079
32,1,1,2026-01-27,Switzerland,Iceland,19.892281,30.943539
32,2,1,2026-01-27,Slovenia,Croatia,26.910359,32.035299
32,3,1,2026-01-27,Sweden,Hungary,26.098985,27.97534
32,4,1,2026-01-28,Slovenia,Iceland,30.00448,27.061446
32,5,1,2026-01-28,Spain,Portugal,38.226102,34.866003
32,6,1,2026-01-28,Croatia,Hungary,27.162254,38.66992
32,7,1,2026-01-28,Germany,France,44.734645,34.035494
32,8,1,2026-01-28,Denmark,Norway,33.910308,26.885336
32,9,1,2026-01-28,Sweden,Switzerland,35.736608,23.750658
33,1,1,2026-01-27,Switzerland,Iceland,24.259326,27.190859
33,2,1,2026-01-27,Slovenia,Croatia,34.255075,35.825638
33,3,1,2026-01-27,Sweden,Hungary,39.423619,33.516559
33,4,1,2026-01-28,Slovenia,Iceland,32.06553,32.621113
33,5,1,2026-01-28,Spain,Portugal,26.002411,34.460593
33,6,1,2026-01-28,Croatia,Hungary,31.798271,31.27159
33,7,1,2026-01-28,Germany,France,34.56002,29.705672
33,8,1,2026-01-28,Denmark,Norway,31.803933,23.113748
33,9,1,2026-01-28,Sweden,Switzerland,31.367903,24.82378
34,1,1,2026-01-27,Switzerland,Iceland,25.137284,33.487959
34,2,1,2026-01-27,Slovenia,Croatia,26.195331,30.524657
34,3,1,2026-01-27,Sweden,Hungary,39.33334,27.384944
34,4,1,2026-01-28,Slovenia,Iceland,26.271551,29.755022
34,5,1,2026-01-28,Spain,Portugal,31.245151,28.466565
34,6,1,2026-01-28,Croatia,Hungary,33.24241,23.6636
34,7,1,2026-01-28,Germany,France,31.378795,36.513534
34,8,1,2026-01-28,Denmark,Norway,33.154724,28.324942
34,9,1,2026-01-28,Sweden,Switzerland,36.730932,28.43416
35,1,1,2026-01-27,Switzerland,Iceland,35.69675,29.964089
35,2,1,2026-01-27,Slovenia,Croatia,29.696863,34.184053
35,3,1,2026-01-27,Sweden,Hungary,33.018683,28.455065
35,4,1,2026-01-28,Slovenia,Iceland,28.262434,27.185032
35,5,1,2026-01-28,Spain,Portugal,33.967685,32.920897
35,6,1,2026-01-28,Croatia,Hungary,31.274558,30.599295
35,7,1,2026-01-28,Germany,France,30.687265,34.266488
35,8,1,2026-01-28,Denmark,Norway,32.965519,26.33364
35,9,1,2026-01-28,Sweden,Switzerland,32.983169,26.117057
36,1,1,2026-01-27,Switzerland,Iceland,28.488387,35.037428
36,2,1,2026-01-27,Slovenia,Croatia,26.963432,32.95857
36,3,1,2026-01-27,Sweden,Hungary,35.084671,35.701007
36,4,1,2026-01-28,Slovenia,Iceland,24.396439,31.310019
36,5,1,2026-01-28,Spain,Portugal,34.033143,31.540622
36,6,1,2026-01-28,Croatia,Hungary,29.380941,33.490488
36,7,1,2026-01-28,Germany,France,33.439408,32.00927
36,8,1,2026-01-28,Denmark,Norway,36.28529,28.110877
36,9,1,2026-01-28,Sweden,Switzerland,37.240314,29.407338
37,1,1,2026-01-27,Switzerland,Iceland,23.690322,30.505094
37,2,1,2026-01-27,Slovenia,Croatia,31.871481,29.453257
37,3,1,2026-01-27,Sweden,Hungary,33.185655,27.908869
37,4,1,2026-01-28,Slovenia,Iceland,28.421772,26.410932
37,5,1,2026-01-28,Spain,Portugal,20.381286,17.312734
37,6,1,2026-01-28,Croatia,Hungary,30.181207,28.631605
37,7,1,2026-01-28,Germany,France,27.204983,33.415078
37,8,1,2026-01-28,Denmark,Norway,33.714002,30.261939
37,9,1,2026-01-28,Sweden,Switzerland,34.349341,30.14578
38,1,1,2026-01-27,Switzerland,Iceland,36.672421,28.801869
38,2,1,2026-01-27,Slovenia,Croatia,24.944726,31.984936
38,3,1,2026-01-27,Sweden,Hungary,32.970469,19.666946
38,4,1,2026-01-28,Slovenia,Iceland,27.171325,25.294746
38,5,1,2026-01-28,Spain,Portugal,29.724801,28.666498
38,6,1,2026-01-28,Croatia,Hungary,25.258982,27.199287000000002
38,7,1,2026-01-28,Germany,France,28.099604,30.932748
38,8,1,2026-01-28,Denmark,Norway,34.204715,27.21766
38,9,1,2026-01-28,Sweden,Switzerland,20.077451,14.139857
39,1,1,2026-01-27,Switzerland,Iceland,30.142261,33.146814
39,2,1,2026-01-27,Slovenia,Croatia,34.521962,24.917897
39,3,1,2026-01-27,Sweden,Hungary,31.09293,24.922762
39,4,1,2026-01-28,Slovenia,Iceland,20.854075,43.820501
39,5,1,2026-01-28,Spain,Portugal,29.339138,30.55179
39,6,1,2026-01-28,Croatia,Hungary,28.709605,25.120824
39,7,1,2026-01-28,Germany,France,36.737423,39.191905
39,8,1,2026-01-28,Denmark,Norway,33.826759,22.38454
39,9,1,2026-01-28,Sweden,Switzerland,31.460861,26.701158
40,1,1,2026-01-27,Switzerland,Iceland,16.074014,43.679693
40,2,1,2026-01-27,Slovenia,Croatia,40.131237,27.524711
40,3,1,2026-01-27,Sweden,Hungary,34.926168,27.033175
40,4,1,2026-01-28,Slovenia,Iceland,21.54673,30.878306
40,5,1,2026-01-28,Spain,Portugal,23.117501,23.911118
40,6,1,2026-01-28,Croatia,Hungary,24.310607,21.891561
40,7,1,2026-01-28,Germany,France,30.425153,35.965157
40,8,1,2026-01-28,Denmark,Norway,36.722716,31.285789
40,9,1,2026-01-28,Sweden,Switzerland,38.744678,23.192919
41,1,1,2026-01-27,Switzerland,Iceland,27.933712,25.301529
41,2,1,2026-01-27,Slovenia,Croatia,35.229726,33.142353
41,3,1,2026-01-27,Sweden,Hungary,33.80961,27.510671
41,4,1,2026-01-28,Slovenia,Iceland,26.058654,36.928585
41,5,1,2026-01-28,Spain,Portugal,29.088215,30.068701
41,6,1,2026-01-28,Croatia,Hungary,26.999042,26.968564
41,7,1,2026-01-28,Germany,France,30.450377,29.939846
41,8,1,2026-01-28,Denmark,Norway,43.875942,27.266229
41,9,1,2026-01-28,Sweden,Switzerland,26.826792,29.505959
42,1,1,2026-01-27,Switzerland,Iceland,21.532107,34.198113
42,2,1,2026-01-27,Slovenia,Croatia,30.47863,32.199426
42,3,1,2026-01-27,Sweden,Hungary,36.969036,27.779663
42,4,1,2026-01-28,Slovenia,Iceland,23.876891,27.983208
42,5,1,2026-01-28,Spain,Portugal,33.680161,37.617152
42,6,1,2026-01-28,Croatia,Hungary,33.634789,34.960091
42,7,1,2026-01-28,Germany,France,28.341544,34.309874
42,8,1,2026-01-28,Denmark,Norway,30.312687,27.554812
42,9,1,2026-01-28,Sweden,Switzerland,52.614486,30.707343
43,1,1,2026-01-27,Switzerland,Iceland,24.490974,25.357093
43,2,1,2026-01-27,Slovenia,Croatia,33.450324,34.045565
43,3,1,2026-01-27,Sweden,Hungary,28.040354,26.400948
43,4,1,2026-01-28,Slovenia,Iceland,21.533137,21.921673
43,5,1,2026-01-28,Spain,Portugal,37.673862,35.301796
43,6,1,2026-01-28,Croatia,Hungary,32.590476,29.582795
43,7,1,2026-01-28,Germany,France,26.039048,35.324218
43,8,1,2026-01-28,Denmark,Norway,33.184505,24.036366
43,9,1,2026-01-28,Sweden,Switzerland,28.969591,31.65351
44,1,1,2026-01-27,Switzerland,Iceland,36.613403,34.282286
44,2,1,2026-01-27,Slovenia,Croatia,31.746581,32.894474
44,3,1,2026-01-27,Sweden,Hungary,35.01138,26.974119
44,4,1,2026-01-28,Slovenia,Iceland,26.310772,34.737582
44,5,1,2026-01-28,Spain,Portugal,37.936483,36.218166
44,6,1,2026-01-28,Croatia,Hungary,24.442281,27.292448
44,7,1,2026-01-28,Germany,France,31.230091,31.461547
44,8,1,2026-01-28,Denmark,Norway,37.093055,32.029335
44,9,1,2026-01-28,Sweden,Switzerland,33.799291,28.435584
45,1,1,2026-01-27,Switzerland,Iceland,25.63099,23.760788
45,2,1,2026-01-27,Slovenia,Croatia,34.114409,33.428749
45,3,1,2026-01-27,Sweden,Hungary,33.964629,26.664538
45,4,1,2026-01-28,Slovenia,Iceland,27.78491,30.944661
45,5,1,2026-01-28,Spain,Portugal,36.765391,32.571989
45,6,1,2026-01-28,Croatia,Hungary,36.451718,32.693264
45,7,1,2026-01-28,Germany,France,34.186905,39.693224
45,8,1,2026-01-28,Denmark,Norway,30.607499,25.144315
45,9,1,2026-01-28,Sweden,Switzerland,33.591274,25.47081
46,1,1,2026-01-27,Switzerland,Iceland,24.281126,29.957826
46,2,1,2026-01-27,Slovenia,Croatia,31.227045,37.420623
46,3,1,2026-01-27,Sweden,Hungary,34.613993,24.889801
46,4,1,2026-01-28,Slovenia,Iceland,30.224918,29.265384
46,5,1,2026-01-28,Spain,Portugal,30.981795,26.806229
46,6,1,2026-01-28,Croatia,Hungary,19.106065,26.230258
46,7,1,2026-01-28,Germany,France,33.45804,33.771417
46,8,1,2026-01-28,Denmark,Norway,33.333715,27.289095
46,9,1,2026-01-28,Sweden,Switzerland,36.217827,24.118053
47,1,1,2026-01-27,Switzerland,Iceland,22.860244,31.332981
47,2,1,2026-01-27,Slovenia,Croatia,26.468306,26.49647
47,3,1,2026-01-27,Sweden,Hungary,34.439896,28.067848
47,4,1,2026-01-28,Slovenia,Iceland,33.363604,33.212999
47,5,1,2026-01-28,Spain,Portugal,26.689693,27.439382
47,6,1,2026-01-28,Croatia,Hungary,28.369625,28.847782
47,7,1,2026-01-28,Germany,France,29.501455,35.337391
47,8,1,2026-01-28,Denmark,Norway,36.577219,31.604738
47,9,1,2026-01-28,Sweden,Switzerland,36.471698,26.025046
48,1,1,2026-01-27,Switzerland,Iceland,29.525797,29.486583
48,2,1,2026-01-27,Slovenia,Croatia,28.646648,34.330041
