season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2015,2,2015-11-06,Belarus,Argentina,23,30,60,1,1,100,100,4,3,0,5,2
2015,2,2015-11-06,Serbia,Slovenia,21,23,61,1,1,100,100,5,4,0,48,50
2015,2,2015-11-06,Croatia,North Macedonia,29,21,62,1,1,100,100,3,3,0,11,40
2015,2,2015-11-06,Tunisia,Algeria,29,19,63,1,1,1,1,5,4,0,54,1
2015,2,2015-11-06,Germany,Brazil,29,20,64,1,1,100,100,6,4,0,21,8
2015,2,2015-11-06,Qatar,Bahrain,29,22,65,1,1,2,4,4,4,0,44,4
2015,2,2015-11-06,Switzerland,Iran,28,24,66,1,1,1,1,8,2,0,53,27
2015,2,2015-11-07,North Macedonia,Montenegro,30,30,67,1,1,1,100,4,3,0,40,38
2015,2,2015-11-07,Brazil,Slovenia,27,38,68,1,1,1,1,5,5,0,8,50
2015,2,2015-11-07,Poland,Russia,27,21,69,1,1,100,2,8,2,0,42,46
2015,2,2015-11-07,Tunisia,Switzerland,31,26,70,1,1,1,1,6,9,0,54,53
2015,2,2015-11-07,Germany,Serbia,37,26,71,1,1,1,1,7,6,0,21,48
2015,2,2015-11-07,Algeria,Iran,33,27,72,1,1,1,1,5,3,0,1,27
2015,2,2015-11-07,Spain,Sweden,32,27,73,1,1,100,2,4,6,0,51,52
2015,2,2015-11-07,Hungary,Belarus,32,20,74,1,1,100,1,6,5,0,25,5
2015,2,2015-11-08,Poland,Spain,20,23,75,1,1,1,1,9,5,0,42,51
2015,2,2015-11-08,Sweden,Russia,32,28,76,1,1,1,1,7,3,0,52,46
2015,2,2015-11-08,Croatia,Montenegro,28,23,77,1,1,2,1,4,4,0,11,38
2015,2,2015-11-08,Germany,Slovenia,31,28,78,1,1,1,1,8,6,0,21,50
2015,2,2015-11-08,Hungary,Argentina,28,15,79,1,1,1,2,7,4,0,25,2
2015,2,2015-11-08,Brazil,Serbia,32,29,80,1,1,1,1,6,7,0,8,48
2015,2,2015-12-26,Latvia,Belarus,26,28,81,1,1,7,49,1,6,1,34,5
2015,2,2015-12-26,Russia,Egypt,31,24,82,1,1,48,100,4,4,0,46,15
2015,2,2015-12-27,Latvia,Egypt,29,24,83,1,1,1,1,2,5,0,34,15
2015,2,2015-12-27,Russia,Belarus,34,24,84,1,1,1,1,5,7,0,46,5
2015,2,2015-12-28,Poland,Ukraine,29,19,85,1,1,50,7,10,1,0,42,57
2015,2,2015-12-28,Czech Republic,Iran,38,32,86,1,1,100,51,3,4,0,13,27
2015,2,2015-12-28,Montenegro,Algeria,24,19,87,1,1,50,51,5,6,0,38,1
2015,2,2015-12-28,Belarus,Egypt,25,28,88,1,1,1,1,8,6,0,5,15
2015,2,2015-12-28,Latvia,Russia,19,30,89,1,1,1,1,3,6,0,34,46
2015,2,2015-12-29,Poland,Czech Republic,37,33,90,1,1,1,1,11,4,0,42,13
2015,2,2015-12-29,Serbia,Romania,30,30,91,1,1,51,100,8,4,0,48,45
