date,home,away,home_score,away_score
29.12. 18:30,Poland,Russia,25,23
29.12. 15:00,Qatar,Spain,26,28
29.12. 15:00,Slovakia,Czech Republic,21,28
29.12. 13:00,Tunisia,Argentina,27,28
28.12. 16:25,Poland,Algeria,24,21
28.12. 15:00,Argentina,Spain,31,33
27.12. 17:00,Russia,Algeria,30,24
27.12. 15:00,Qatar,Argentina,24,22
27.12. 13:00,Spain,Tunisia,30,30
25.12. 15:00,Qatar,Tunisia,33,30
22.12. 14:00,Poland,Algeria,26,24
21.12. 16:00,Poland,Algeria,23,26
12.01. 12:00,Portugal U20,France U20,24,31
12.01. 09:45,Germany U20,Spain U20,29,26
11.01. 19:00,Spain U20,Portugal U20,28,22
11.01. 16:45,France U20,Germany U20,24,30
10.01. 20:00,Portugal U20,Germany U20,29,35
10.01. 17:45,Spain U20,France U20,26,26
07.01. 18:00,Sweden,Egypt,27,24
06.01. 13:40,Austria,Germany,28,32
06.01. 10:30,Austria U20,Norway U20,31,29
05.01. 17:00,North Macedonia,Montenegro,25,24
05.01. 17:00,Sweden,Egypt,28,27
05.01. 16:00,France,Denmark,30,31
05.01. 15:50,Croatia,Qatar,33,28
05.01. 15:00,Switzerland,Netherlands,31,27
05.01. 13:30,Norway,Serbia,38,28
05.01. 12:30,Ukraine,Tunisia,32,34
05.01. 12:00,Spain,Russia,32,24
05.01. 11:00,Hungary,Czech Republic,22,31
05.01. 10:00,Poland,Portugal,27,34
04.01. 19:15,Switzerland,Tunisia,29,26
04.01. 17:00,Spain,Poland,35,31
04.01. 16:30,Slovenia,Montenegro,37,22
04.01. 16:20,Germany,Iceland,33,25
04.01. 16:15,Ukraine,Netherlands,27,30
04.01. 16:00,Austria U20,Norway U20,28,27
04.01. 15:50,Croatia,Bosnia & Herzegovina,33,33
04.01. 15:00,Hungary,Czech Republic,27,24
04.01. 15:00,Russia,Portugal,25,27
03.01. 19:45,France,Serbia,40,26
03.01. 19:15,Switzerland,Ukraine,32,22
03.01. 18:00,Slovenia,North Macedonia,33,28
03.01. 18:00,Spain,Portugal,30,25
03.01. 17:15,Denmark,Norway,28,26
03.01. 17:00,Bosnia & Herzegovina,Qatar,27,30
03.01. 16:45,Tunisia,Netherlands,30,29
03.01. 16:00,Russia,Poland,30,25
