date,home,away,home_score,away_score
03.11. 18:00,Norway B W,Czech Republic W,29,31
03.11. 16:00,NEKA W,Angola W,29,33
02.11. 18:00,Czech Republic W,Neckarsulmer W,35,23
02.11. 17:00,Germany W,Romania W,29,29
02.11. 16:00,Egypt W,Norway B W,21,30
01.11. 18:00,Czech Republic W,Egypt W,37,24
01.11. 16:00,Norway B W,Neckarsulmer W,32,21
31.10. 16:00,Hungary W,Germany W,20,31
30.10. 15:10,France W,Poland W,30,19
30.10. 15:00,Sweden W,Czech Republic W,26,26
30.10. 12:00,Spain W,Switzerland W,37,26
30.10. 10:00,Tunisia W,Egypt W,27,24
29.10. 16:00,Montenegro W,Slovakia W,33,24
29.10. 16:00,Spain W,Egypt W,34,23
29.10. 15:00,Hungary W,Romania W,33,28
29.10. 15:00,Slovenia W,Croatia W,22,23
29.10. 14:00,Switzerland W,Tunisia W,41,31
28.10. 19:10,France W,Poland W,33,26
28.10. 19:00,Spain W,Tunisia W,39,29
28.10. 17:00,Egypt W,Switzerland W,28,37
28.10. 16:15,Sweden W,Czech Republic W,36,20
28.10. 16:00,Montenegro W,Slovakia W,37,20
02.10. 15:15,France W,Germany W,30,29
01.10. 17:00,Romania W,Spain W,25,23
01.10. 15:30,Slovenia W,Hungary W,21,19
01.10. 15:00,Slovakia W,Ukraine W,32,24
01.10. 14:30,Serbia W,Austria W,30,29
01.10. 14:00,North Macedonia W,Norway B W,27,37
01.10. 14:00,Sweden W,Brazil W,33,30
30.09. 19:10,France W,Germany W,34,31
30.09. 17:00,Romania W,Serbia W,26,20
30.09. 16:00,Slovakia W,Ukraine W,29,30
30.09. 14:30,Austria W,Spain W,27,32
29.09. 17:00,Romania W,Austria W,32,32
29.09. 17:00,Slovenia W,Hungary W,22,22
29.09. 16:30,Sweden W,Brazil W,31,25
29.09. 14:30,Serbia W,Spain W,30,28
09.06. 17:00,Denmark W,Slovenia W,38,30
22.04. 14:00,China W,Belarus W,22,37
06.03. 13:00,Norway B W,Poland W,32,31
05.03. 13:30,Norway B W,Poland W,21,26
