date,division,game_nr,home,away,home_timediff,away_timediff
2026-01-22,1,1,Germany,Portugal,3,2
2026-01-22,1,2,Norway,Spain,3,3
2026-01-22,1,3,Denmark,France,2,3
2026-01-23,1,4,Iceland,Croatia,3,2
2026-01-23,1,5,Switzerland,Hungary,3,3
2026-01-23,1,6,Sweden,Slovenia,2,3
2026-01-24,1,7,France,Portugal,2,2
2026-01-24,1,8,Denmark,Spain,2,2
2026-01-24,1,9,Norway,Germany,2,2
2026-01-25,1,10,Slovenia,Hungary,2,2
2026-01-25,1,11,Sweden,Iceland,2,2
2026-01-25,1,12,Switzerland,Croatia,2,2
2026-01-26,1,13,Norway,Portugal,2,2
2026-01-26,1,14,Spain,France,2,2
2026-01-26,1,15,Denmark,Germany,2,2
2026-01-27,1,16,Switzerland,Iceland,2,2
2026-01-27,1,17,Slovenia,Croatia,2,2
2026-01-27,1,18,Sweden,Hungary,2,2
2026-01-28,1,19,Slovenia,Iceland,1,1
2026-01-28,1,20,Spain,Portugal,2,2
2026-01-28,1,21,Croatia,Hungary,1,1
2026-01-28,1,22,Germany,France,2,2
2026-01-28,1,23,Denmark,Norway,2,2
2026-01-28,1,24,Sweden,Switzerland,1,1
