season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2015,4,2015-03-19,Turkey,Austria,32,32,1,0,1
2015,4,2015-03-19,Czech Republic,Belarus,31,26,2,0,1
2015,4,2015-03-20,Portugal,Finland,33,24,3,0,1
2015,4,2015-03-20,Czech Republic,Austria,31,25,4,0,1
2015,4,2015-03-20,Netherlands,Slovakia,33,27,5,0,1
2015,4,2015-03-20,Serbia,Slovenia,30,22,6,0,1
2015,4,2015-03-20,Romania,Brazil,27,19,7,0,1
2015,4,2015-03-20,Turkey,Belarus,28,38,8,0,1
2015,4,2015-03-20,Sweden,Germany,33,32,9,0,1
2015,4,2015-03-20,Switzerland,Iceland,25,21,10,0,1
2015,4,2015-03-21,Portugal,Italy,23,20,11,0,1
2015,4,2015-03-21,Romania,Sweden,17,26,12,0,1
2015,4,2015-03-21,Switzerland,Iceland,24,28,13,0,1
2015,4,2015-03-21,Germany,Brazil,25,20,14,0,1
2015,4,2015-03-21,Czech Republic,Turkey,36,25,15,0,1
2015,4,2015-03-21,Netherlands,Slovakia,29,26,16,0,1
2015,4,2015-03-21,Austria,Belarus,30,28,17,0,1
2015,4,2015-03-21,Hungary,Spain,25,25,18,0,1
2015,4,2015-03-21,Serbia,Slovenia,28,30,19,0,1
2015,4,2015-03-22,Italy,Finland,23,17,20,0,1
2015,4,2015-05-30,Poland,Iceland,25,18,21,0,1
2015,4,2015-05-31,Germany,Netherlands,31,29,22,0,1
2015,4,2015-06-01,Montenegro,Russia,27,23,23,0,1
2015,4,2015-06-01,Slovakia,Japan,28,23,24,0,1
2015,4,2015-06-02,Sweden,Netherlands,30,20,25,0,1
2015,4,2015-06-02,Czech Republic,Slovakia,21,22,26,0,1
2015,4,2015-06-03,Japan,Ukraine,23,26,27,0,1
2015,4,2015-06-12,Brazil,Norway,21,25,28,0,1
2015,4,2015-06-14,Brazil,Norway,18,12,29,0,1
2015,4,2015-08-07,Hungary,Japan,34,18,30,0,1
2016,5,2015-10-20,Kazakhstan,China,18,28,31,1,0
2016,5,2015-10-21,China,Japan,19,29,32,1,0
2016,5,2015-10-21,South Korea,Kazakhstan,35,24,33,1,0
2016,5,2015-10-22,China,South Korea,22,34,34,1,0
2016,5,2015-10-24,Japan,Kazakhstan,24,23,35,1,0
2016,5,2015-10-25,South Korea,Japan,35,21,36,1,0
2015,4,2015-11-08,Serbia,South Korea,22,31,37,0,1
2015,4,2015-11-19,Tunisia,Italy,24,22,38,0,1
2015,4,2015-11-25,Germany,Poland,30,31,39,0,1
2015,4,2015-11-26,Croatia,Slovakia,29,19,40,0,1
2015,4,2015-11-26,France,Romania,29,27,41,0,1
2015,4,2015-11-27,Spain,Angola,37,27,42,0,1
2015,4,2015-11-27,Germany,Slovakia,31,31,43,0,1
2015,4,2015-11-27,Tunisia,Denmark,15,33,44,0,1
2015,4,2015-11-27,Hungary,Ukraine,37,19,45,0,1
2015,4,2015-11-28,Spain,Tunisia,32,19,46,0,1
2015,4,2015-11-28,Croatia,Germany,27,24,47,0,1
2015,4,2015-11-28,Austria,Switzerland,32,28,48,0,1
2015,4,2015-11-28,Angola,Denmark,17,28,49,0,1
2015,4,2015-11-28,Poland,Montenegro,28,26,50,0,1
2015,4,2015-11-28,France,Cuba,37,18,51,0,1
2015,4,2015-11-28,Romania,Czech Republic,31,26,52,0,1
2015,4,2015-11-29,France,Czech Republic,31,20,53,0,1
2015,4,2015-11-29,Brazil,Serbia,24,23,54,0,1
2015,4,2015-11-29,Romania,Cuba,36,23,55,0,1
2015,4,2015-11-29,Argentina,Slovenia,22,22,56,0,1
2015,4,2015-11-29,Spain,Denmark,25,25,57,0,1
2015,4,2015-11-29,Austria,Switzerland,29,27,58,0,1
2015,4,2015-11-29,Angola,Tunisia,27,22,59,0,1
2015,4,2015-12-02,Sweden,Romania,30,33,60,0,1
2016,4,2016-03-15,Sweden,Romania,32,29,61,0,1
2016,4,2016-03-15,Slovakia,Norway,28,29,62,0,1
2016,4,2016-03-16,Slovakia,Norway,27,33,63,0,1
2016,4,2016-03-17,Spain,Brazil,23,22,64,0,1
2016,4,2016-03-17,Norway,Germany,35,28,65,0,1
2016,5,2016-03-18,Netherlands,France,24,17,66,1,0
2016,5,2016-03-18,Romania,Denmark,32,25,67,1,0
2016,5,2016-03-18,Japan,Tunisia,37,20,68,1,0
2016,5,2016-03-18,Uruguay,Montenegro,19,34,69,1,0
2016,5,2016-03-18,Poland,Russia,25,27,70,1,0
2016,4,2016-03-19,Norway,Brazil,32,26,71,0,1
2016,4,2016-03-19,Germany,Spain,24,25,72,0,1
2016,5,2016-03-19,Denmark,Montenegro,22,26,73,1,0
2016,5,2016-03-19,France,Tunisia,33,15,74,1,0
2016,5,2016-03-19,Romania,Uruguay,36,19,75,1,0
2016,5,2016-03-19,Netherlands,Japan,33,25,76,1,0
2016,5,2016-03-19,Poland,Sweden,24,30,77,1,0
2016,4,2016-03-20,Norway,Spain,25,27,78,0,1
2016,4,2016-03-20,Brazil,Germany,18,24,79,0,1
2016,5,2016-03-20,Denmark,Uruguay,38,17,80,1,0
2016,5,2016-03-20,France,Japan,25,17,81,1,0
