date,home,away,home_score,away_score
30.12. 17:00,Serbia,Tunisia,29,25
29.12. 16:00Pen,Poland,Romania,30,29
29.12. 14:00,Czech Republic,Japan,25,27
29.12. 10:00,Latvia,Egypt,24,38
29.12. 08:00,Belgium,Ukraine,28,23
28.12. 18:30,Czech Republic,Romania,26,27
28.12. 18:00,Latvia,Ukraine,26,33
28.12. 16:30Pen,Poland,Japan,29,28
28.12. 16:00,Egypt,Belgium,28,19
27.12. 18:00,Latvia,Belgium,18,28
27.12. 16:00,Ukraine,Egypt,24,25
12.12. 18:00,Germany,Poland,35,23
27.10. 14:00,Sweden,Japan,32,24
25.10. 17:00,Sweden,Japan,32,24
07.10. 09:30,Finland,Faroe Islands,27,25
06.10. 13:00,Finland,Faroe Islands,29,24
07.08. 17:00,Leipzig,Japan,29,23
14.07. 14:00,Serbia U20,Russia U20,28,34
14.07. 10:30,Denmark U20,Norway U20,35,34
14.07. 09:00,Hungary U20,Poland U20,30,26
14.07. 08:30,Sweden U20,Germany U20,31,31
13.07. 18:00,Denmark U20,Germany U20,30,25
13.07. 16:00,Hungary U20,Russia U20,35,20
13.07. 16:00,Norway U20,Sweden U20,24,32
13.07. 14:00,Poland U20,Serbia U20,26,25
13.07. 09:30,Croatia U20,Slovenia U20,30,19
12.07. 18:00,Denmark U20,Sweden U20,32,28
12.07. 16:00,Germany U20,Norway U20,34,24
12.07. 16:00,Hungary U20,Serbia U20,27,31
12.07. 14:00,Poland U20,Russia U20,23,23
11.07. 15:00,Slovenia U20,Croatia U20,30,22
08.07. 13:00,France U20,Iceland U20,30,20
07.07. 16:00,Spain U20,Portugal U20,19,25
07.07. 11:00,Hungary U20,Austria U20,29,20
07.07. 09:00,Croatia U20,Slovakia U20,29,23
06.07. 19:30,Spain U20,Portugal U20,31,26
06.07. 18:00,France U20,Iceland U20,30,30
06.07. 16:00,Hungary U20,Croatia U20,25,34
06.07. 14:00,Slovakia U20,Austria U20,22,22
30.06. 05:00,Japan,Brazil,29,31
29.06. 18:15,Switzerland U20,Germany U20,18,27
29.06. 16:00,France U20,Spain U20,31,25
29.06. 08:00,Croatia U20,Hungary U20,32,28
29.06. 08:00,Japan,Brazil,31,32
28.06. 16:00,Croatia U20,Hungary U20,36,29
25.06. 08:00,Israel U20,Slovakia U20,24,25
25.06. 08:00,South Korea,Japan,25,18
24.06. 14:00,Israel U20,Slovakia U20,32,22
21.06. 09:20,South Korea,Netherlands,22,23
20.06. 11:00,Netherlands,Bahrain,32,21
19.06. 09:20,South Korea,Bahrain,25,20
18.06. 09:00,South Korea,Netherlands,24,25
17.06. 05:00,Netherlands,Bahrain,34,24
16.06. 15:30,Kiel,Team World,31,43
16.06. 06:00,Japan,Germany,22,31
16.06. 03:00,South Korea,Bahrain,37,25
14.06. 00:00,France,Denmark,29,29
13.06. 15:00,Poland,Spain,30,31
13.06. 09:30,Japan,Germany,24,37
10.06. 00:00,France,Denmark,30,23
09.06. 15:30,Israel,Slovakia,30,36
08.06. 12:00,Israel,Slovakia,27,32
06.06. 18:00,Germany,Norway,25,30
06.06. 15:30,Montenegro,South Korea,29,30
05.06. 18:15,Denmark,Switzerland,29,22
04.06. 08:00,Belarus,Lithuania,38,36
03.06. 15:30,Montenegro,South Korea,35,30
03.06. 14:00,Belarus,Lithuania,28,32
08.04. 16:00,Slovenia,Belarus,27,23
08.04. 12:30,Hungary,Brazil,30,22
08.04. 09:30,Hungary B,Poland B,25,25
07.04. 18:00,Spain,Tunisia,33,18
07.04. 17:00,Netherlands,Iceland B,26,24
07.04. 16:00,Slovenia,Belarus,35,29
07.04. 15:00,Brazil,Austria,29,27
07.04. 15:00,Netherlands B,Japan,33,27
07.04. 14:00,Sweden,Croatia,28,29
07.04. 12:30,Germany,Serbia,29,23
07.04. 12:00,Czech Republic,Poland,36,37
07.04. 10:00,North Macedonia,Russia,27,32
06.04. 19:00,Netherlands,Netherlands B,34,24
06.04. 18:30,Portugal,Switzerland,22,23
06.04. 17:00,Hungary,Austria,33,22
06.04. 17:00,Iceland B,Japan,39,38
06.04. 14:30,Poland B,Austria B,30,26
06.04. 13:00,Finland,Georgia,19,21
06.04. 11:00,Georgia B,Italy,28,40
05.04. 19:00,Netherlands,Japan,28,23
05.04. 17:15,Sweden,Croatia,32,25
05.04. 17:00,Netherlands B,Iceland B,25,28
05.04. 17:00,Poland,Czech Republic,21,25
05.04. 11:00,Italy,Finland,35,28
04.04. 19:00,Netherlands,Iceland B,38,36
04.04. 17:30,Portugal,Switzerland,27,28
04.04. 17:00,Germany,Serbia,26,19
10.01. 17:00,Slovenia,Serbia,33,25
10.01. 15:00,Qatar,Oman,38,18
10.01. 13:00,Iran,Algeria,31,28
09.01. 18:00,Slovenia,Serbia,36,32
09.01. 17:45,Portugal,Argentina,30,25
09.01. 16:30,Algeria,Oman,28,27
09.01. 15:00,Qatar,Iran,33,28
08.01. 18:15,Sweden,Hungary,31,29
07.01. 18:00,Spain,Poland,37,22
07.01. 16:00,Belarus,Argentina,29,22
07.01. 15:00,Iran,Oman,34,32
07.01. 14:00,Czech Republic,Austria,35,21
07.01. 13:00,Germany,Iceland,30,21
06.01. 19:30,Spain,Argentina,31,28
06.01. 19:05,Portugal,Romania,23,26
06.01. 17:30,Poland,Belarus,28,27
06.01. 16:45,Tunisia,Bahrain,24,25
06.01. 16:30,Bosnia & Herzegovina,Saudi Arabia,22,27
06.01. 15:15,Sweden,Hungary,29,29
06.01. 15:00,Cuba,Algeria,20,32
05.01. 19:30,Croatia,Montenegro,25,22
05.01. 19:15,Austria,Czech Republic,23,26
05.01. 19:00,Romania,Bahrain,29,20
05.01. 18:00,Spain,Belarus,35,30
05.01. 17:10,Germany,Iceland,36,29
05.01. 17:00,Bosnia & Herzegovina,Saudi Arabia,29,26
05.01. 17:00,Serbia,North Macedonia,29,32
05.01. 16:45,Portugal,Tunisia,33,29
05.01. 16:00,Argentina,Poland,29,24
05.01. 15:00,Qatar,Algeria,40,21
04.01. 18:00,Slovenia,Iran,31,19
04.01. 15:00,Qatar,Cuba,48,16
03.01. 18:30,Iceland,Japan,42,25
