date,home,away,home_score,away_score
15.12. 17:00,Denmark W,Norway W,23,31
15.12. 14:15,France W,Hungary W,24,25
13.12. 19:30,France W,Denmark W,22,24
13.12. 16:45,Hungary W,Norway W,22,30
13.12. 14:00,Sweden W,Netherlands W,33,32
11.12. 19:30,Switzerland W,Norway W,24,40
11.12. 17:00,Denmark W,Netherlands W,30,26
11.12. 14:30,Slovenia W,Germany W,16,35
10.12. 19:30,Sweden W,Montenegro W,25,24
10.12. 17:00,Hungary W,France W,27,30
10.12. 14:30,Romania W,Poland W,24,29
09.12. 19:30,Denmark W,Slovenia W,33,26
09.12. 17:00,Norway W,Germany W,32,27
09.12. 14:30,Switzerland W,Netherlands W,29,37
08.12. 19:30,Sweden W,France W,27,31
08.12. 17:00,Hungary W,Romania W,37,29
08.12. 14:30,Montenegro W,Poland W,30,28
07.12. 19:30,Netherlands W,Norway W,21,31
07.12. 17:00,Denmark W,Germany W,30,22
07.12. 14:30,Switzerland W,Slovenia W,25,34
06.12. 19:30,Hungary W,Poland W,31,21
06.12. 17:00,France W,Montenegro W,31,23
06.12. 14:30,Sweden W,Romania W,23,25
05.12. 19:30,Denmark W,Norway W,24,27
05.12. 19:30,Hungary W,Montenegro W,26,20
05.12. 17:00,France W,Romania W,30,25
05.12. 17:00,Netherlands W,Slovenia W,26,22
05.12. 14:30,Sweden W,Poland W,33,25
05.12. 14:30,Switzerland W,Germany W,27,36
03.12. 19:30,Croatia W,Switzerland W,22,26
03.12. 19:30,Czech Republic W,Montenegro W,21,28
03.12. 19:30,Iceland W,Germany W,19,30
03.12. 17:00,Faroe Islands W,Denmark W,24,33
03.12. 17:00,Serbia W,Romania W,25,27
03.12. 17:00,Ukraine W,Netherlands W,23,43
02.12. 19:30,Portugal W,France W,16,28
02.12. 19:30,Slovakia W,Norway W,15,38
02.12. 19:30,Turkey W,Sweden W,19,47
02.12. 17:00,North Macedonia W,Hungary W,19,29
02.12. 17:00,Poland W,Spain W,26,23
02.12. 17:00,Slovenia W,Austria W,25,24
01.12. 19:30,Iceland W,Ukraine W,27,24
01.12. 19:30,Serbia W,Czech Republic W,24,27
01.12. 17:00,Denmark W,Switzerland W,35,30
