date,division,game_nr,home,away,home_timediff,away_timediff
2026-01-15,1,1,Germany,Austria,4,4
2026-01-15,1,2,Norway,Ukraine,5,5
2026-01-15,1,3,France,Czech Republic,4,9
2026-01-15,1,4,Spain,Serbia,4,4
2026-01-16,1,5,Denmark,North Macedonia,6,6
2026-01-16,1,6,Faroe Islands,Switzerland,5,6
2026-01-16,1,7,Hungary,Poland,7,5
2026-01-16,1,8,Iceland,Italy,5,5
2026-01-16,1,9,Portugal,Romania,5,7
2026-01-16,1,10,Slovenia,Montenegro,5,7
2026-01-17,1,11,Norway,Czech Republic,2,2
2026-01-17,1,12,Serbia,Germany,2,2
2026-01-17,1,13,Sweden,Netherlands,10,7
2026-01-17,1,14,Austria,Spain,2,2
2026-01-17,1,15,Croatia,Georgia,6,50
2026-01-17,1,16,Ukraine,France,2,2
2026-01-18,1,17,Montenegro,Faroe Islands,2,2
2026-01-18,1,18,North Macedonia,Portugal,2,2
2026-01-18,1,19,Poland,Iceland,2,2
2026-01-18,1,20,Italy,Hungary,2,2
2026-01-18,1,21,Denmark,Romania,2,2
2026-01-18,1,22,Switzerland,Slovenia,2,2
2026-01-19,1,23,Austria,Serbia,2,2
2026-01-19,1,24,Czech Republic,Ukraine,2,2
2026-01-19,1,25,Netherlands,Croatia,2,2
2026-01-19,1,26,Norway,France,2,2
2026-01-19,1,27,Sweden,Georgia,2,2
2026-01-19,1,28,Germany,Spain,2,2
2026-01-20,1,29,Montenegro,Switzerland,2,2
2026-01-20,1,30,North Macedonia,Romania,2,2
2026-01-20,1,31,Poland,Italy,2,2
2026-01-20,1,32,Denmark,Portugal,2,2
2026-01-20,1,33,Hungary,Iceland,2,2
2026-01-20,1,34,Slovenia,Faroe Islands,2,2
2026-01-21,1,35,Netherlands,Georgia,2,2
2026-01-21,1,36,Sweden,Croatia,2,2
