iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2026-01-28,Slovenia,Iceland,27.198655,32.361925
1,2,1,2026-01-28,Spain,Portugal,32.226893,35.454661
1,3,1,2026-01-28,Croatia,Hungary,31.581386,34.406451
1,4,1,2026-01-28,Germany,France,28.466865,31.083742
1,5,1,2026-01-28,Denmark,Norway,38.19336,34.494645
1,6,1,2026-01-28,Sweden,Switzerland,29.545318,25.5502
2,1,1,2026-01-28,Slovenia,Iceland,22.860509,28.423908
2,2,1,2026-01-28,Spain,Portugal,29.906473,27.238688
2,3,1,2026-01-28,Croatia,Hungary,23.956598,24.544423
2,4,1,2026-01-28,Germany,France,32.304433,40.03623
2,5,1,2026-01-28,Denmark,Norway,32.718779,31.923325
2,6,1,2026-01-28,Sweden,Switzerland,36.031268,30.053926
3,1,1,2026-01-28,Slovenia,Iceland,27.41445,25.984754
3,2,1,2026-01-28,Spain,Portugal,30.478826,35.234559
3,3,1,2026-01-28,Croatia,Hungary,37.082676,26.577678
3,4,1,2026-01-28,Germany,France,33.19284,30.802454
3,5,1,2026-01-28,Denmark,Norway,30.702346,22.715643
3,6,1,2026-01-28,Sweden,Switzerland,43.576762,36.716657
4,1,1,2026-01-28,Slovenia,Iceland,25.598991,38.286963
4,2,1,2026-01-28,Spain,Portugal,30.650296,30.651531
4,3,1,2026-01-28,Croatia,Hungary,31.557371,27.718482
4,4,1,2026-01-28,Germany,France,32.757974,36.589408
4,5,1,2026-01-28,Denmark,Norway,30.70374,27.114614
4,6,1,2026-01-28,Sweden,Switzerland,39.916756,32.059497
5,1,1,2026-01-28,Slovenia,Iceland,33.884078,36.157197
5,2,1,2026-01-28,Spain,Portugal,37.865482,31.025643
5,3,1,2026-01-28,Croatia,Hungary,29.840074,34.001226
5,4,1,2026-01-28,Germany,France,27.298657,31.491354
5,5,1,2026-01-28,Denmark,Norway,24.439676,19.634532
5,6,1,2026-01-28,Sweden,Switzerland,33.068059,29.870712
6,1,1,2026-01-28,Slovenia,Iceland,26.203594,26.647257
6,2,1,2026-01-28,Spain,Portugal,33.835375,39.826922
6,3,1,2026-01-28,Croatia,Hungary,24.93433,31.480244
6,4,1,2026-01-28,Germany,France,29.87784,28.549182
6,5,1,2026-01-28,Denmark,Norway,33.857627,31.819117
6,6,1,2026-01-28,Sweden,Switzerland,37.545314,33.046162
7,1,1,2026-01-28,Slovenia,Iceland,35.02536,36.885006
7,2,1,2026-01-28,Spain,Portugal,26.619646,22.627758
7,3,1,2026-01-28,Croatia,Hungary,34.790121,30.290665
7,4,1,2026-01-28,Germany,France,32.029561,34.654887
7,5,1,2026-01-28,Denmark,Norway,32.442357,24.302862
7,6,1,2026-01-28,Sweden,Switzerland,28.721084,26.478919
8,1,1,2026-01-28,Slovenia,Iceland,24.779076,26.834675
8,2,1,2026-01-28,Spain,Portugal,30.896378,25.221584
8,3,1,2026-01-28,Croatia,Hungary,26.780627,25.760093
8,4,1,2026-01-28,Germany,France,28.865751,34.047888
8,5,1,2026-01-28,Denmark,Norway,35.703761,35.909343
8,6,1,2026-01-28,Sweden,Switzerland,30.805076,26.968968
9,1,1,2026-01-28,Slovenia,Iceland,28.328764,29.264662
9,2,1,2026-01-28,Spain,Portugal,24.839335,31.858084
9,3,1,2026-01-28,Croatia,Hungary,29.069339,34.595884
9,4,1,2026-01-28,Germany,France,30.615463,44.087812
9,5,1,2026-01-28,Denmark,Norway,31.330256,29.994004
9,6,1,2026-01-28,Sweden,Switzerland,38.264521,31.19137
10,1,1,2026-01-28,Slovenia,Iceland,35.015525,30.768564
10,2,1,2026-01-28,Spain,Portugal,29.64705,25.932458
10,3,1,2026-01-28,Croatia,Hungary,32.569539,31.856556
10,4,1,2026-01-28,Germany,France,29.077268,29.689089
10,5,1,2026-01-28,Denmark,Norway,34.117815,24.531312
10,6,1,2026-01-28,Sweden,Switzerland,36.963347,34.342276
11,1,1,2026-01-28,Slovenia,Iceland,27.109807,32.672324
11,2,1,2026-01-28,Spain,Portugal,25.576246,30.835916
11,3,1,2026-01-28,Croatia,Hungary,28.268187,25.197113
11,4,1,2026-01-28,Germany,France,33.604144,29.808051
11,5,1,2026-01-28,Denmark,Norway,33.77205,32.680427
11,6,1,2026-01-28,Sweden,Switzerland,34.578464,32.532318
12,1,1,2026-01-28,Slovenia,Iceland,35.489555,39.93916
12,2,1,2026-01-28,Spain,Portugal,37.972154,30.124368
12,3,1,2026-01-28,Croatia,Hungary,29.01082,25.730189
12,4,1,2026-01-28,Germany,France,36.75135,33.14942
12,5,1,2026-01-28,Denmark,Norway,32.997832,28.710764
12,6,1,2026-01-28,Sweden,Switzerland,34.363221,30.830739
13,1,1,2026-01-28,Slovenia,Iceland,27.211564,35.650388
13,2,1,2026-01-28,Spain,Portugal,36.696461,34.372731
13,3,1,2026-01-28,Croatia,Hungary,30.079751,30.019413
13,4,1,2026-01-28,Germany,France,34.498134,30.498643
13,5,1,2026-01-28,Denmark,Norway,27.430284,29.195563
13,6,1,2026-01-28,Sweden,Switzerland,32.09406,32.595313
14,1,1,2026-01-28,Slovenia,Iceland,26.87128,31.354888
14,2,1,2026-01-28,Spain,Portugal,23.304564,25.577103
14,3,1,2026-01-28,Croatia,Hungary,30.236928,28.635408
14,4,1,2026-01-28,Germany,France,34.977766,32.502265
14,5,1,2026-01-28,Denmark,Norway,37.844005,28.66137
14,6,1,2026-01-28,Sweden,Switzerland,41.933207,31.277106
15,1,1,2026-01-28,Slovenia,Iceland,35.125262,31.535927
15,2,1,2026-01-28,Spain,Portugal,30.552049,31.43508
15,3,1,2026-01-28,Croatia,Hungary,28.562275,37.677706
15,4,1,2026-01-28,Germany,France,31.776635,26.50331
15,5,1,2026-01-28,Denmark,Norway,29.115874,17.506614
15,6,1,2026-01-28,Sweden,Switzerland,29.367484,28.459756
16,1,1,2026-01-28,Slovenia,Iceland,33.87779,39.353444
16,2,1,2026-01-28,Spain,Portugal,36.928457,31.729733
16,3,1,2026-01-28,Croatia,Hungary,27.925069,33.963003
16,4,1,2026-01-28,Germany,France,30.668227,36.058214
16,5,1,2026-01-28,Denmark,Norway,35.556018,25.057399
16,6,1,2026-01-28,Sweden,Switzerland,31.647015,30.646348
17,1,1,2026-01-28,Slovenia,Iceland,32.159563,31.477561
17,2,1,2026-01-28,Spain,Portugal,36.445983,34.94618
17,3,1,2026-01-28,Croatia,Hungary,26.719001,30.661496
17,4,1,2026-01-28,Germany,France,26.877365,27.146609
17,5,1,2026-01-28,Denmark,Norway,26.62236,25.252484
17,6,1,2026-01-28,Sweden,Switzerland,34.388463,25.240134
18,1,1,2026-01-28,Slovenia,Iceland,32.522396,39.112092
18,2,1,2026-01-28,Spain,Portugal,27.676099,37.220897
18,3,1,2026-01-28,Croatia,Hungary,31.332884,32.598967
18,4,1,2026-01-28,Germany,France,33.688516,32.906083
18,5,1,2026-01-28,Denmark,Norway,29.375486,29.184715
18,6,1,2026-01-28,Sweden,Switzerland,40.245967,30.556508
19,1,1,2026-01-28,Slovenia,Iceland,33.412621,32.991471
19,2,1,2026-01-28,Spain,Portugal,24.808013,26.244199
19,3,1,2026-01-28,Croatia,Hungary,29.730557,34.883843
19,4,1,2026-01-28,Germany,France,36.768575,35.779903
19,5,1,2026-01-28,Denmark,Norway,32.333004,29.911064
19,6,1,2026-01-28,Sweden,Switzerland,36.184562,30.050638
20,1,1,2026-01-28,Slovenia,Iceland,35.094394,40.086521
20,2,1,2026-01-28,Spain,Portugal,29.017141,33.431309
