date,division,game_nr,home,away,home_timediff,away_timediff
2025-12-02,6,1,Spain,Serbia,2,2
2025-12-02,6,2,Iceland,Montenegro,2,2
2025-12-02,6,3,Argentina,Egypt,2,2
2025-12-02,6,4,Tunisia,China,2,2
2025-12-02,6,5,Germany,Faroe Islands,2,2
2025-12-02,6,6,Netherlands,Austria,2,2
2025-12-02,6,7,France,Poland,2,2
2025-12-03,6,8,Czech Republic,Angola,2,2
2025-12-03,6,9,Japan,Switzerland,2,2
2025-12-03,6,10,Brazil,South Korea,2,2
2025-12-03,6,11,Hungary,Romania,2,2
2025-12-03,6,12,Denmark,Senegal,2,2
2025-12-03,6,13,Norway,Sweden,2,2
2025-12-04,6,14,Croatia,Iran,3,3
2025-12-04,6,15,Uruguay,Paraguay,4,4
2025-12-04,6,16,Serbia,Faroe Islands,2,2
2025-12-04,6,17,Germany,Montenegro,2,2
2025-12-04,6,18,Cuba,Kazakhstan,3,3
2025-12-04,6,19,Iceland,Spain,2,2
2025-12-05,6,20,Angola,Brazil,2,2
2025-12-05,6,21,Romania,Senegal,2,2
2025-12-05,6,22,Japan,Hungary,2,2
2025-12-05,6,23,Sweden,South Korea,2,2
2025-12-05,6,24,Czech Republic,Norway,2,2
2025-12-05,6,25,Switzerland,Denmark,2,2
2025-12-06,6,26,Croatia,Uruguay,2,2
2025-12-06,6,27,Iran,Paraguay,2,2
2025-12-06,6,28,Montenegro,Serbia,2,2
2025-12-06,6,29,Germany,Spain,2,2
2025-12-06,6,30,Faroe Islands,Iceland,2,2
2025-12-07,6,31,Senegal,Japan,2,2
2025-12-07,6,32,South Korea,Czech Republic,2,2
2025-12-07,6,33,Angola,Sweden,2,2
2025-12-07,6,34,Switzerland,Romania,2,2
2025-12-07,6,35,Hungary,Denmark,2,2
2025-12-07,6,36,Norway,Brazil,2,2
2025-12-08,6,37,Paraguay,Croatia,2,2
2025-12-08,6,38,Iran,Uruguay,2,2
