date,home,away,home_score,away_score
28.01. 19:30,Spain,Sweden,29,23
28.01. 17:00,France,Denmark,32,29
26.01. 19:30AET,Denmark,Sweden,34,35
26.01. 17:00,France,Spain,23,27
26.01. 14:30,Croatia,Czech Republic,28,27
24.01. 19:30,Croatia,France,27,30
24.01. 19:30,Germany,Spain,27,31
24.01. 17:15,North Macedonia,Denmark,20,31
24.01. 17:15,Sweden,Norway,25,28
24.01. 15:00,Serbia,Belarus,27,32
24.01. 15:00,Slovenia,Czech Republic,26,26
23.01. 19:30,North Macedonia,Czech Republic,24,25
23.01. 17:15,Slovenia,Spain,31,26
22.01. 19:30,Sweden,Belarus,29,20
22.01. 17:15,Serbia,France,30,39
21.01. 19:30,North Macedonia,Spain,20,31
21.01. 17:15,Germany,Denmark,25,26
20.01. 19:30,Croatia,Norway,32,28
20.01. 17:15,Sweden,France,17,23
19.01. 19:30,Slovenia,Denmark,28,31
19.01. 17:15,Germany,Czech Republic,22,19
18.01. 19:30,Croatia,Belarus,25,23
18.01. 17:15,Serbia,Norway,27,32
17.01. 19:30,Montenegro,Slovenia,19,28
17.01. 19:30,Spain,Denmark,22,25
17.01. 17:15,Czech Republic,Hungary,33,27
17.01. 17:15,Germany,North Macedonia,25,25
16.01. 19:30,Croatia,Sweden,31,35
16.01. 19:30,Norway,Austria,39,28
16.01. 17:15,France,Belarus,32,25
16.01. 17:15,Serbia,Iceland,29,26
15.01. 19:30,Czech Republic,Denmark,28,27
15.01. 19:30,Montenegro,North Macedonia,28,29
15.01. 17:15,Hungary,Spain,25,27
15.01. 17:15,Slovenia,Germany,25,25
14.01. 19:30,Iceland,Croatia,22,29
14.01. 19:30,Norway,Belarus,33,28
14.01. 17:15,Austria,France,26,33
14.01. 17:15,Serbia,Sweden,25,30
13.01. 19:30,Denmark,Hungary,32,25
13.01. 18:30,North Macedonia,Slovenia,25,24
13.01. 17:15,Spain,Czech Republic,32,15
13.01. 16:15,Germany,Montenegro,32,19
12.01. 19:30,Croatia,Serbia,32,22
12.01. 19:30,France,Norway,32,31
12.01. 17:15,Belarus,Austria,27,26
12.01. 17:15,Sweden,Iceland,24,26
18.06. 18:45,Iceland,Ukraine,34,26
18.06. 18:45,North Macedonia,Czech Republic,33,20
18.06. 18:15,Denmark,Latvia,33,16
18.06. 17:15,Hungary,Netherlands,35,30
18.06. 13:00,Belarus,Serbia,27,27
18.06. 13:00,Germany,Switzerland,29,22
18.06. 12:30,Poland,Romania,32,31
17.06. 18:25,Austria,Bosnia & Herzegovina,34,32
17.06. 18:00,Slovenia,Portugal,28,18
17.06. 17:45,France,Belgium,32,28
17.06. 17:30,Norway,Lithuania,30,20
17.06. 16:00,Spain,Finland,46,16
17.06. 15:15,Sweden,Slovakia,31,17
17.06. 12:00,Russia,Montenegro,27,27
15.06. 16:35,Latvia,Hungary,23,35
15.06. 16:00,Romania,Belarus,22,32
15.06. 16:00,Ukraine,North Macedonia,27,27
14.06. 18:45,Serbia,Poland,34,34
14.06. 18:30,Belgium,Norway,27,43
14.06. 18:30,Portugal,Germany,26,29
14.06. 18:15,Switzerland,Slovenia,20,33
14.06. 18:00,Montenegro,Sweden,28,24
14.06. 18:00,Slovakia,Russia,24,25
14.06. 17:30,Netherlands,Denmark,24,36
14.06. 16:10,Czech Republic,Iceland,27,24
14.06. 16:00,Bosnia & Herzegovina,Spain,19,25
14.06. 16:00,Lithuania,France,25,26
14.06. 15:30,Finland,Austria,36,39
07.05. 19:45,Iceland,North Macedonia,30,29
07.05. 18:30,Denmark,Hungary,35,27
07.05. 18:00,Bosnia & Herzegovina,Finland,34,23
07.05. 18:00,Serbia,Romania,27,22
07.05. 17:00,Poland,Belarus,27,27
07.05. 15:00,Lithuania,Belgium,33,28
07.05. 14:00,Portugal,Switzerland,27,22
07.05. 12:00,Netherlands,Latvia,25,24
06.05. 18:00,Montenegro,Slovakia,31,30
06.05. 18:00,Spain,Austria,35,24
06.05. 16:00,France,Norway,28,24
06.05. 15:15,Sweden,Russia,25,21
06.05. 14:10,Germany,Slovenia,25,20
06.05. 12:00,Czech Republic,Ukraine,32,25
04.05. 18:00,Hungary,Denmark,25,25
04.05. 18:00,North Macedonia,Iceland,30,25
04.05. 17:00,Romania,Serbia,22,23
04.05. 17:00,Switzerland,Portugal,25,27
04.05. 15:30,Finland,Bosnia & Herzegovina,27,32
04.05. 15:00,Belarus,Poland,32,23
03.05. 18:30,Belgium,Lithuania,29,33
03.05. 18:25,Austria,Spain,29,30
03.05. 18:00,Slovenia,Germany,23,32
03.05. 16:35,Latvia,Netherlands,27,29
03.05. 16:30,Norway,France,35,30
03.05. 16:30,Slovakia,Montenegro,27,27
03.05. 16:15,Russia,Sweden,21,29
03.05. 16:00,Ukraine,Czech Republic,26,23
06.11. 19:00,Bosnia & Herzegovina,Austria,22,23
06.11. 19:00,Montenegro,Russia,24,24
06.11. 18:00,Romania,Poland,28,23
06.11. 16:00,Lithuania,Norway,32,29
06.11. 16:00,Serbia,Belarus,27,36
06.11. 15:10,Latvia,Denmark,23,36
06.11. 15:00,Portugal,Slovenia,26,26
06.11. 14:30,Belgium,France,37,38
06.11. 14:00,Netherlands,Hungary,27,28
05.11. 17:00,Slovakia,Sweden,17,21
05.11. 16:45,Switzerland,Germany,22,23
05.11. 16:00,Ukraine,Iceland,27,25
05.11. 13:25,Czech Republic,North Macedonia,35,28
05.11. 12:30,Finland,Spain,21,36
03.11. 19:30,Denmark,Netherlands,29,20
03.11. 19:00,Poland,Serbia,32,37
03.11. 18:15,Sweden,Montenegro,36,21
03.11. 18:00,France,Lithuania,37,20
02.11. 19:30,Iceland,Czech Republic,25,24
02.11. 19:30,Spain,Bosnia & Herzegovina,30,21
02.11. 19:25,Austria,Finland,27,31
02.11. 18:00,Germany,Portugal,35,24
02.11. 18:00,Norway,Belgium,35,26
02.11. 17:30,North Macedonia,Ukraine,27,21
02.11. 17:00,Hungary,Latvia,24,16
02.11. 17:00,Slovenia,Switzerland,32,27
02.11. 16:30,Russia,Slovakia,31,31
02.11. 16:00,Belarus,Romania,23,26
10.04. 15:00,Romania,Israel,32,21
09.04. 18:00,Belgium,Turkey,29,22
09.04. 13:00,Finland,Luxembourg,27,29
07.04. 17:00,Luxembourg,Finland,23,28
06.04. 16:45,Israel,Romania,27,30
06.04. 16:00,Turkey,Belgium,28,37
14.06. 16:30,Greece,Belgium,29,25
14.06. 14:00,Romania,Italy,44,25
13.06. 17:00,Estonia,Luxembourg,26,29
10.06. 18:30,Italy,Romania,22,28
10.06. 18:00,Belgium,Greece,30,25
10.06. 17:30,Luxembourg,Estonia,26,31
03.05. 16:00,Italy,Kosovo,35,26
03.05. 16:00,Luxembourg,Georgia,29,20
02.05. 18:00,Belgium,Cyprus,30,20
30.04. 14:00,Georgia,Luxembourg,17,16
29.04. 17:30,Kosovo,Italy,22,29
29.04. 16:30,Cyprus,Belgium,17,26
02.11. 18:00,Cyprus,Greece,17,23
02.11. 14:00,Georgia,Estonia,29,27
01.11. 17:00,Kosovo,Romania,16,30
30.10. 17:30,Greece,Cyprus,27,25
29.10. 18:00,Estonia,Georgia,28,26
29.10. 16:30,Romania,Kosovo,36,24
