iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2026-01-25,Switzerland,Croatia,25.489605,26.936335
1,2,1,2026-01-25,Sweden,Iceland,28.376409,32.559345
1,3,1,2026-01-25,Slovenia,Hungary,23.945955,43.453723
1,4,1,2026-01-26,Norway,Portugal,33.866194,32.57491
1,5,1,2026-01-26,Spain,France,28.735464,34.069948
1,6,1,2026-01-26,Denmark,Germany,36.883171,31.799672
1,7,1,2026-01-27,Switzerland,Iceland,21.447983,32.070883
1,8,1,2026-01-27,Slovenia,Croatia,31.00996,27.44925
1,9,1,2026-01-27,Sweden,Hungary,29.219292,26.165467
1,10,1,2026-01-28,Slovenia,Iceland,26.23311,25.701174
1,11,1,2026-01-28,Spain,Portugal,28.485353,32.589762
1,12,1,2026-01-28,Croatia,Hungary,29.469934,26.785392
1,13,1,2026-01-28,Germany,France,28.494389,28.180431
1,14,1,2026-01-28,Denmark,Norway,33.195201,30.94019
1,15,1,2026-01-28,Sweden,Switzerland,41.318026,28.817574
2,1,1,2026-01-25,Switzerland,Croatia,22.737065,23.530982
2,2,1,2026-01-25,Sweden,Iceland,30.166651,38.292912
2,3,1,2026-01-25,Slovenia,Hungary,25.737623,21.145488
2,4,1,2026-01-26,Norway,Portugal,29.889063,29.775147
2,5,1,2026-01-26,Spain,France,27.627184,29.827242
2,6,1,2026-01-26,Denmark,Germany,43.738642,25.741553
2,7,1,2026-01-27,Switzerland,Iceland,25.033542,33.446102
2,8,1,2026-01-27,Slovenia,Croatia,23.922578,28.123809
2,9,1,2026-01-27,Sweden,Hungary,30.383172,17.234669
2,10,1,2026-01-28,Slovenia,Iceland,32.356724,26.116227
2,11,1,2026-01-28,Spain,Portugal,35.194414,33.495642
2,12,1,2026-01-28,Croatia,Hungary,34.055454,31.022683
2,13,1,2026-01-28,Germany,France,30.675675,28.107096
2,14,1,2026-01-28,Denmark,Norway,39.070598,24.35752
2,15,1,2026-01-28,Sweden,Switzerland,32.895647,27.218573
3,1,1,2026-01-25,Switzerland,Croatia,25.537015,33.060591
3,2,1,2026-01-25,Sweden,Iceland,31.91173,21.439529
3,3,1,2026-01-25,Slovenia,Hungary,27.395298,27.828626
3,4,1,2026-01-26,Norway,Portugal,36.073822,34.181093
3,5,1,2026-01-26,Spain,France,25.711275,33.832633
3,6,1,2026-01-26,Denmark,Germany,30.232763,26.434781
3,7,1,2026-01-27,Switzerland,Iceland,27.866903,28.602368
3,8,1,2026-01-27,Slovenia,Croatia,29.452882,35.022726
3,9,1,2026-01-27,Sweden,Hungary,32.858998,26.24455
3,10,1,2026-01-28,Slovenia,Iceland,24.92822,27.549835
3,11,1,2026-01-28,Spain,Portugal,26.103512,24.71352
