date,division,game_nr,home,away,home_timediff,away_timediff
2025-11-28,6,1,Austria,Egypt,5,50
2025-11-28,6,2,Paraguay,Montenegro,2,2
2025-11-28,6,3,Germany,Uruguay,2,2
2025-11-28,6,4,Poland,China,5,50
2025-11-28,6,5,Netherlands,Argentina,50,50
2025-11-28,6,6,Serbia,Iceland,2,2
2025-11-28,6,7,Spain,Faroe Islands,2,2
2025-11-28,6,8,France,Tunisia,50,50
2025-11-29,6,9,Angola,South Korea,2,2
2025-11-29,6,10,Brazil,Czech Republic,2,2
2025-11-29,6,11,Romania,Japan,2,2
2025-11-29,6,12,Switzerland,Senegal,2,2
2025-11-29,6,13,Croatia,Denmark,2,2
2025-11-29,6,14,Cuba,Sweden,2,2
2025-11-29,6,15,Iran,Hungary,2,2
2025-11-29,6,16,Kazakhstan,Norway,2,2
2025-11-30,6,17,Faroe Islands,Paraguay,2,2
2025-11-30,6,18,Iceland,Uruguay,2,2
2025-11-30,6,19,Poland,Tunisia,2,2
2025-11-30,6,20,Austria,Argentina,2,2
2025-11-30,6,21,China,France,2,2
2025-11-30,6,22,Germany,Serbia,2,2
2025-11-30,6,23,Montenegro,Spain,2,2
2025-11-30,6,24,Egypt,Netherlands,2,2
2025-12-01,6,25,Czech Republic,Cuba,2,2
2025-12-01,6,26,Japan,Croatia,2,2
2025-12-01,6,27,Senegal,Iran,2,2
2025-12-01,6,28,South Korea,Kazakhstan,2,2
2025-12-01,6,29,Denmark,Romania,2,2
2025-12-01,6,30,Hungary,Switzerland,2,2
2025-12-01,6,31,Norway,Angola,2,2
2025-12-01,6,32,Sweden,Brazil,2,2
2025-12-02,6,33,Argentina,Egypt,2,2
2025-12-02,6,34,Tunisia,China,2,2
2025-12-02,6,35,Netherlands,Austria,2,2
2025-12-02,6,36,France,Poland,2,2
