date,division,home,away
2026-01-27,1,Switzerland,Iceland
2026-01-27,1,Slovenia,Croatia
2026-01-27,1,Sweden,Hungary
2026-01-28,1,Slovenia,Iceland
2026-01-28,1,Spain,Portugal
2026-01-28,1,Croatia,Hungary
2026-01-28,1,Germany,France
2026-01-28,1,Denmark,Norway
2026-01-28,1,Switzerland,Sweden
