season,division,date,home,away,home_goals,away_goals
2025,2,2025-10-30,Switzerland,Croatia,26,29
2025,2,2025-10-30,Sweden,Spain,30,34
2025,4,2025-05-12,North Macedonia,Faroe Islands,34,26
2025,4,2025-05-12,Montenegro,Italy,32,34
2025,4,2025-05-12,Slovakia,Poland,25,33
2025,4,2025-05-12,Hungary,Lithuania,36,23
2025,4,2025-05-12,Bosnia & Herzegovina,Portugal,26,26
2025,4,2025-05-12,Serbia,Spain,25,22
2025,4,2025-05-12,Czech Republic,Romania,29,20
2025,4,2025-05-12,Austria,Georgia,37,31
2025,4,2025-05-12,Netherlands,Greece,31,25
2025,4,2025-05-12,Switzerland,Slovenia,34,38
2026,1,2025-05-11,Austria,Switzerland,34,33
2026,1,2025-05-11,Croatia,Luxembourg,30,20
2026,1,2025-05-11,Czech Republic,Belgium,25,22
2026,1,2025-05-11,Faroe Islands,Ukraine,35,27
2026,1,2025-05-11,Germany,Turkey,44,26
2026,1,2025-05-11,Greece,Bosnia & Herzegovina,30,23
2026,1,2025-05-11,Hungary,Finland,37,24
2026,1,2025-05-11,Iceland,Georgia,33,21
2026,1,2025-05-11,Israel,Portugal,33,34
2026,1,2025-05-11,Montenegro,Slovakia,33,28
2026,1,2025-05-11,Netherlands,Kosovo,34,29
2026,1,2025-05-11,North Macedonia,Lithuania,26,17
2026,1,2025-05-11,Poland,Romania,30,29
2026,1,2025-05-11,Serbia,Italy,28,24
2026,1,2025-05-11,Slovenia,Estonia,36,30
2026,1,2025-05-11,Spain,Latvia,41,25
2025,4,2025-05-11,Estonia,Iceland,24,37
2025,4,2025-05-09,Portugal,Bosnia & Herzegovina,29,19
2025,4,2025-05-09,Italy,Montenegro,32,26
2025,4,2025-05-09,Lithuania,Hungary,26,33
2025,4,2025-05-09,Poland,Slovakia,28,29
2025,4,2025-05-09,Slovenia,Switzerland,26,27
2025,4,2025-05-09,Georgia,Austria,25,27
2026,1,2025-05-08,Kosovo,Faroe Islands,23,25
2026,1,2025-05-08,Ukraine,Netherlands,27,35
2026,1,2025-05-08,Italy,Spain,29,33
2026,1,2025-05-08,Latvia,Serbia,26,27
2026,1,2025-05-08,Estonia,North Macedonia,17,36
2026,1,2025-05-08,Romania,Portugal,28,24
2026,1,2025-05-08,Finland,Montenegro,28,33
2026,1,2025-05-08,Georgia,Greece,29,26
2026,1,2025-05-08,Israel,Poland,33,31
2025,4,2025-05-08,Iceland,Estonia,50,25
2025,4,2025-05-08,Spain,Serbia,32,28
2025,4,2025-05-08,Faroe Islands,North Macedonia,34,27
2025,4,2025-05-08,Romania,Czech Republic,31,30
2025,4,2025-05-08,Greece,Netherlands,31,27
2026,1,2025-05-07,Belgium,Croatia,22,34
2026,1,2025-05-07,Bosnia & Herzegovina,Iceland,25,34
2026,1,2025-05-07,Switzerland,Germany,32,32
2026,1,2025-05-07,Luxembourg,Czech Republic,22,35
2026,1,2025-05-07,Lithuania,Slovenia,28,31
2026,1,2025-05-07,Slovakia,Hungary,24,39
2026,1,2025-05-07,Turkey,Austria,29,34
2025,4,2025-03-17,Italy,Belgium,33,31
2025,4,2025-03-17,Lithuania,Finland,30,29
2025,4,2025-03-17,Ukraine,Estonia,33,41
2025,4,2025-03-17,Israel,Slovakia,24,26
2026,1,2025-03-16,Bosnia & Herzegovina,Georgia,20,22
2026,1,2025-03-16,Spain,Serbia,28,26
2026,1,2025-03-16,Portugal,Poland,33,27
2026,1,2025-03-16,Slovenia,North Macedonia,38,27
2026,1,2025-03-16,Romania,Israel,29,26
2026,1,2025-03-16,Ukraine,Kosovo,36,25
2026,1,2025-03-16,Croatia,Czech Republic,36,20
2026,1,2025-03-16,Hungary,Montenegro,29,29
2026,1,2025-03-16,Italy,Latvia,41,30
2026,1,2025-03-16,Slovakia,Finland,25,26
2026,1,2025-03-16,Switzerland,Turkey,30,27
2026,1,2025-03-16,Lithuania,Estonia,35,28
2026,1,2025-03-16,Netherlands,Faroe Islands,31,32
2026,1,2025-03-16,Belgium,Luxembourg,24,27
2026,1,2025-03-15,Iceland,Greece,33,21
2026,1,2025-03-15,Germany,Austria,31,26
2025,4,2025-03-15,Slovakia,Israel,26,25
2025,4,2025-03-14,Finland,Lithuania,20,20
2026,1,2025-03-13,Israel,Romania,29,29
2026,1,2025-03-13,Kosovo,Ukraine,31,30
2026,1,2025-03-13,Latvia,Italy,30,35
2026,1,2025-03-13,Austria,Germany,26,26
2026,1,2025-03-13,Poland,Portugal,36,36
2026,1,2025-03-13,Serbia,Spain,27,25
2026,1,2025-03-13,Finland,Slovakia,22,21
2026,1,2025-03-13,Georgia,Bosnia & Herzegovina,28,26
2025,4,2025-03-13,Belgium,Italy,25,29
2025,4,2025-03-13,Estonia,Ukraine,32,29
2026,1,2025-03-12,Faroe Islands,Netherlands,32,32
2026,1,2025-03-12,North Macedonia,Slovenia,26,32
2026,1,2025-03-12,Luxembourg,Belgium,22,32
2026,1,2025-03-12,Turkey,Switzerland,34,38
2026,1,2025-03-12,Czech Republic,Croatia,29,35
2026,1,2025-03-12,Estonia,Lithuania,20,30
2026,1,2025-03-12,Greece,Iceland,25,34
2026,1,2025-03-12,Montenegro,Hungary,26,29
2025,4,2025-02-02,Croatia,Denmark,26,32
2025,4,2025-02-02,France,Portugal,35,34
2025,4,2025-01-31,Denmark,Portugal,40,27
2025,4,2025-01-30,France,Croatia,28,31
2025,4,2025-01-29,Portugal,Germany,31,30
2025,4,2025-01-29,Denmark,Brazil,33,21
2025,4,2025-01-28,France,Egypt,34,33
2025,4,2025-01-28,Poland,USA,24,22
2025,4,2025-01-28,Croatia,Hungary,31,30
