date,home,away,home_score,away_score
26.01. 15:30,Spain,Croatia,22,20
25.01. 17:30,Slovenia,Norway,20,28
25.01. 15:00,Germany,Portugal,29,27
24.01. 19:30,Spain,Slovenia,34,32
24.01. 17:00AET,Norway,Croatia,28,29
22.01. 19:30,Czech Republic,Germany,22,26
22.01. 19:30,Iceland,Sweden,25,32
22.01. 17:15,Belarus,Austria,36,36
22.01. 17:15,Norway,Slovenia,33,30
22.01. 15:00,Croatia,Spain,22,22
22.01. 15:00,Portugal,Hungary,34,26
21.01. 19:30,Hungary,Sweden,18,24
21.01. 17:15,Norway,Iceland,31,28
21.01. 15:00,Portugal,Slovenia,24,29
20.01. 19:30,Austria,Germany,22,34
20.01. 17:15,Belarus,Spain,28,37
20.01. 15:00,Croatia,Czech Republic,22,21
19.01. 17:30,Norway,Sweden,23,20
19.01. 15:15,Slovenia,Hungary,28,29
19.01. 13:00,Portugal,Iceland,25,28
18.01. 19:30,Croatia,Germany,25,24
18.01. 17:15,Spain,Austria,30,26
18.01. 15:00,Belarus,Czech Republic,28,25
17.01. 19:30,Portugal,Sweden,35,25
17.01. 17:15,Norway,Hungary,36,29
17.01. 15:00,Slovenia,Iceland,30,27
16.01. 19:30,Belarus,Germany,23,31
16.01. 17:15,Croatia,Austria,27,23
16.01. 15:00,Spain,Czech Republic,31,25
15.01. 19:30,Russia,Denmark,28,31
15.01. 17:15,Iceland,Hungary,18,24
14.01. 19:30,Poland,Sweden,26,28
14.01. 19:30,Portugal,Norway,28,34
14.01. 19:30,Ukraine,Czech Republic,19,23
14.01. 17:15,Austria,North Macedonia,32,28
14.01. 17:15,Bosnia & Herzegovina,France,23,31
14.01. 17:15,Switzerland,Slovenia,25,29
13.01. 19:30,Denmark,Hungary,24,24
13.01. 19:30,Netherlands,Spain,25,36
13.01. 19:30,Serbia,Croatia,21,24
13.01. 17:15,Iceland,Russia,34,23
13.01. 17:15,Latvia,Germany,27,28
13.01. 17:15,Montenegro,Belarus,27,36
12.01. 17:15,Austria,Ukraine,34,30
12.01. 17:15,France,Norway,26,28
12.01. 17:15,Sweden,Slovenia,19,21
12.01. 15:00,Czech Republic,North Macedonia,27,25
12.01. 15:00,Portugal,Bosnia & Herzegovina,27,24
12.01. 15:00,Switzerland,Poland,31,24
11.01. 17:15,Denmark,Iceland,30,31
11.01. 17:15,Montenegro,Serbia,22,21
11.01. 17:15,Spain,Germany,33,26
11.01. 15:00,Croatia,Belarus,31,23
11.01. 15:00,Hungary,Russia,26,25
11.01. 15:00,Latvia,Netherlands,24,32
10.01. 19:30,North Macedonia,Ukraine,26,25
10.01. 19:30,Norway,Bosnia & Herzegovina,32,26
10.01. 19:30,Sweden,Switzerland,34,21
10.01. 17:15,Czech Republic,Austria,29,32
10.01. 17:15,France,Portugal,25,28
10.01. 17:15,Slovenia,Poland,26,23
09.01. 19:30,Croatia,Montenegro,27,21
09.01. 19:30,Spain,Latvia,33,22
09.01. 17:15,Belarus,Serbia,35,30
09.01. 17:15,Germany,Netherlands,34,23
16.06. 16:00,Belarus,Finland,40,15
16.06. 16:00,Croatia,Belgium,28,19
16.06. 16:00,Czech Republic,Bosnia & Herzegovina,23,24
16.06. 16:00,Denmark,Faroe Islands,31,24
16.06. 16:00,France,Romania,34,25
16.06. 16:00,Germany,Kosovo,28,17
16.06. 16:00,Hungary,Italy,32,29
16.06. 16:00,Iceland,Turkey,32,22
16.06. 16:00,Montenegro,Ukraine,27,21
16.06. 16:00,Netherlands,Latvia,25,21
16.06. 16:00,North Macedonia,Greece,27,23
16.06. 16:00,Poland,Israel,26,23
16.06. 16:00,Portugal,Lithuania,28,28
16.06. 16:00,Russia,Slovakia,30,20
16.06. 16:00,Serbia,Switzerland,32,31
16.06. 16:00,Slovenia,Estonia,32,28
13.06. 17:30,Faroe Islands,Montenegro,21,24
13.06. 16:45,Italy,Russia,23,30
13.06. 16:30,Estonia,Netherlands,27,33
13.06. 16:00,Lithuania,France,17,37
13.06. 15:00,Romania,Portugal,19,24
12.06. 18:00,Belgium,Serbia,26,37
12.06. 18:00,Bosnia & Herzegovina,Belarus,25,31
12.06. 18:00,Kosovo,Poland,23,23
12.06. 17:00,Greece,Iceland,28,28
12.06. 16:45,Israel,Germany,25,40
12.06. 16:40,Latvia,Slovenia,25,24
12.06. 16:15,Switzerland,Croatia,28,33
12.06. 16:00,Slovakia,Hungary,20,21
12.06. 16:00,Turkey,North Macedonia,25,26
12.06. 16:00,Ukraine,Denmark,30,33
12.06. 15:05,Finland,Czech Republic,24,26
14.04. 18:30,Croatia,Serbia,27,23
14.04. 18:00,North Macedonia,Iceland,24,24
14.04. 16:00,Israel,Kosovo,30,24
14.04. 15:30,France,Portugal,33,24
14.04. 15:00,Bosnia & Herzegovina,Finland,31,19
14.04. 15:00,Slovakia,Italy,23,26
14.04. 15:00,Slovenia,Netherlands,30,23
14.04. 14:00,Belarus,Czech Republic,24,26
14.04. 14:00,Hungary,Russia,23,23
14.04. 14:00,Turkey,Greece,26,23
14.04. 13:30,Lithuania,Romania,24,23
14.04. 12:10,Latvia,Estonia,30,24
14.04. 12:00,Switzerland,Belgium,36,22
13.04. 18:15,Denmark,Montenegro,37,26
13.04. 15:45,Faroe Islands,Ukraine,26,27
13.04. 12:00,Germany,Poland,29,24
11.04. 19:00,Portugal,France,33,27
11.04. 17:30,Netherlands,Slovenia,26,27
11.04. 16:30,Estonia,Latvia,18,24
11.04. 16:00,Serbia,Croatia,25,25
11.04. 15:30,Finland,Bosnia & Herzegovina,26,30
11.04. 15:30,Russia,Hungary,19,25
11.04. 15:00,Romania,Lithuania,28,23
10.04. 19:45,Iceland,North Macedonia,33,34
10.04. 19:00,Montenegro,Denmark,32,31
10.04. 18:10,Belgium,Switzerland,25,28
10.04. 17:15,Kosovo,Israel,27,24
10.04. 16:45,Italy,Slovakia,26,23
10.04. 16:10,Czech Republic,Belarus,30,31
10.04. 16:00,Poland,Germany,18,26
10.04. 16:00,Ukraine,Faroe Islands,30,19
10.04. 15:00,Greece,Turkey,22,26
28.10. 18:30,Kosovo,Germany,14,30
28.10. 17:45,Israel,Poland,25,24
28.10. 17:30,Estonia,Slovenia,20,31
28.10. 16:30,Ukraine,Montenegro,29,24
28.10. 16:00,Romania,France,21,31
28.10. 15:00,Greece,North Macedonia,28,26
28.10. 14:45,Belgium,Croatia,25,30
28.10. 14:30,Lithuania,Portugal,23,24
28.10. 13:10,Latvia,Netherlands,29,25
28.10. 13:00,Turkey,Iceland,22,33
28.10. 12:15,Switzerland,Serbia,29,24
27.10. 18:00,Bosnia & Herzegovina,Czech Republic,20,25
27.10. 16:45,Italy,Hungary,22,30
27.10. 16:00,Slovakia,Russia,21,22
27.10. 14:10,Faroe Islands,Denmark,17,35
27.10. 13:00,Finland,Belarus,20,27
25.10. 18:30,France,Lithuania,42,27
25.10. 18:15,Croatia,Switzerland,31,28
25.10. 18:15,North Macedonia,Turkey,31,27
25.10. 17:30,Netherlands,Estonia,35,25
25.10. 15:00,Belarus,Bosnia & Herzegovina,29,30
24.10. 19:45,Iceland,Greece,35,21
24.10. 19:00,Denmark,Ukraine,30,24
24.10. 19:00,Portugal,Romania,21,13
24.10. 18:15,Slovenia,Latvia,27,21
24.10. 17:00,Germany,Israel,37,21
24.10. 16:30,Hungary,Slovakia,30,22
24.10. 16:30,Russia,Italy,34,20
24.10. 16:00,Czech Republic,Finland,31,27
24.10. 16:00,Poland,Kosovo,37,13
24.10. 16:00,Serbia,Belgium,27,27
24.10. 15:30,Montenegro,Faroe Islands,24,24
15.01. 16:00,Faroe Islands,Greece,24,26
15.01. 15:30,Italy,Luxembourg,26,24
15.01. 13:00,Turkey,Estonia,18,20
14.01. 18:00,Greece,Cyprus,24,17
13.01. 20:00,Cyprus,Faroe Islands,20,19
11.01. 18:30,Luxembourg,Italy,24,23
11.01. 17:30,Estonia,Turkey,18,28
08.01. 17:30,Estonia,Kosovo,27,23
07.01. 17:00,Luxembourg,Georgia,35,29
04.01. 18:30,Kosovo,Estonia,17,31
04.01. 14:00,Georgia,Luxembourg,24,31
06.11. 18:30,Kosovo,Turkey,24,24
06.11. 14:00,Georgia,Italy,25,28
02.11. 16:30,Italy,Georgia,26,19
02.11. 16:00,Turkey,Kosovo,26,22
