date,division,game_nr,home,away,home_timediff,away_timediff
2026-01-17,1,1,Norway,Czech Republic,2,2
2026-01-17,1,2,Serbia,Germany,2,2
2026-01-17,1,3,Sweden,Netherlands,10,7
2026-01-17,1,4,Austria,Spain,2,2
2026-01-17,1,5,Croatia,Georgia,6,50
2026-01-17,1,6,Ukraine,France,2,2
2026-01-18,1,7,Montenegro,Faroe Islands,2,2
2026-01-18,1,8,North Macedonia,Portugal,2,2
2026-01-18,1,9,Poland,Iceland,2,2
2026-01-18,1,10,Italy,Hungary,2,2
2026-01-18,1,11,Denmark,Romania,2,2
2026-01-18,1,12,Switzerland,Slovenia,2,2
2026-01-19,1,13,Austria,Serbia,2,2
2026-01-19,1,14,Czech Republic,Ukraine,2,2
2026-01-19,1,15,Netherlands,Croatia,2,2
2026-01-19,1,16,Norway,France,2,2
2026-01-19,1,17,Sweden,Georgia,2,2
2026-01-19,1,18,Germany,Spain,2,2
2026-01-20,1,19,Montenegro,Switzerland,2,2
2026-01-20,1,20,North Macedonia,Romania,2,2
2026-01-20,1,21,Poland,Italy,2,2
2026-01-20,1,22,Denmark,Portugal,2,2
2026-01-20,1,23,Hungary,Iceland,2,2
2026-01-20,1,24,Slovenia,Faroe Islands,2,2
2026-01-21,1,25,Netherlands,Georgia,2,2
2026-01-21,1,26,Sweden,Croatia,2,2
