date,home,away,home_score,away_score
07.12. 18:00,Senegal W,Angola W,18,27
07.12. 15:30,Tunisia W,Egypt W,25,22
06.12. 17:00,Egypt W,Angola W,22,36
06.12. 14:30,Tunisia W,Senegal W,18,26
06.12. 12:30,Cape Verde W,Guinea W,17,31
06.12. 10:30,Congo W,D.R. Congo W,28,30
06.12. 08:30,Cameroon W,Algeria W,29,24
05.12. 17:00,D.R. Congo W,Algeria W,33,17
05.12. 15:00,Congo W,Cameroon W,19,17
05.12. 15:00,Uganda W,Kenya W,34,25
04.12. 17:30,Egypt W,D.R. Congo W,23,22
04.12. 15:00,Cameroon W,Senegal W,19,26
04.12. 13:30,Cape Verde W,Uganda W,34,32
04.12. 12:30,Angola W,Algeria W,34,15
04.12. 11:00,Kenya W,Guinea W,12,34
04.12. 10:00,Congo W,Tunisia W,24,28
03.12. 17:00,D.R. Congo W,Angola W,15,40
03.12. 16:00,Algeria W,Kenya W,31,12
03.12. 15:00,Congo W,Senegal W,25,17
03.12. 14:00,Cape Verde W,Egypt W,24,27
03.12. 13:00,Tunisia W,Cameroon W,20,21
03.12. 12:00,Guinea W,Uganda W,48,22
01.12. 17:00,Guinea W,D.R. Congo W,24,32
01.12. 16:00,Senegal W,Algeria W,23,16
01.12. 15:00,Cameroon W,Angola W,14,31
01.12. 14:00,Egypt W,Kenya W,45,17
01.12. 13:00,Congo W,Cape Verde W,25,21
01.12. 12:00,Uganda W,Tunisia W,18,47
30.11. 17:00,Tunisia W,D.R. Congo W,23,25
30.11. 16:00,Angola W,Guinea W,35,22
30.11. 15:00,Egypt W,Senegal W,16,21
30.11. 14:00,Cape Verde W,Kenya W,34,26
30.11. 13:00,Algeria W,Congo W,17,24
30.11. 12:00,Cameroon W,Uganda W,36,16
28.11. 17:00,D.R. Congo W,Cameroon W,23,25
28.11. 16:00,Egypt W,Algeria W,28,19
28.11. 15:00,Senegal W,Cape Verde W,37,22
28.11. 14:00,Uganda W,Angola W,11,46
28.11. 13:00,Tunisia W,Guinea W,28,28
28.11. 12:00,Kenya W,Congo W,20,37
27.11. 18:30,D.R. Congo W,Uganda W,38,11
27.11. 15:00,Congo W,Egypt W,23,27
27.11. 13:00,Angola W,Tunisia W,36,23
27.11. 11:00,Guinea W,Cameroon W,26,32
27.11. 09:00,Algeria W,Cape Verde W,20,16
27.11. 07:00,Senegal W,Kenya W,39,9
