date,home,away,home_score,away_score
30.12. 17:00,Slovenia,Saudi Arabia,31,18
30.12. 15:00,Hungary,Czech Republic,34,25
30.12. 13:00,Bahrain,Slovakia,28,26
30.12. 10:00,Serbia U21,Israel U21,43,33
29.12. 17:00,Hungary,Slovakia,35,26
29.12. 16:00,Poland B,Hungary B,22,25
29.12. 15:00,Czech Republic,Bahrain,28,23
29.12. 10:00,Latvia,Egypt,20,30
29.12. 08:00,Belarus,Russia,21,28
28.12. 18:00,Latvia,Russia,19,27
28.12. 16:00,Belarus,Egypt,28,27
27.12. 18:00,Latvia,Belarus,23,20
27.12. 16:00,Russia,Egypt,24,23
06.11. 11:30,Denmark U21,Germany U21,24,26
06.11. 09:00,Spain U21,France U21,31,25
04.11. 19:30,Denmark U21,Spain U21,26,21
04.11. 17:00,France U21,Germany U21,34,31
02.11. 17:00,Greece,Israel,30,22
01.11. 16:00,Greece,Israel,31,23
07.09. 14:30,Belarus,Switzerland,27,27
06.09. 14:30,Belarus,Switzerland,24,30
04.08. 22:30,Slovenia,Denmark,22,21
04.08. 17:50,Argentina,Sweden,11,20
29.07. 22:00,Argentina,Egypt,25,23
27.07. 21:00,Argentina,Egypt,23,23
26.07. 18:30,Croatia,Slovenia,22,20
24.07. 18:50,Qatar,Poland,29,26
24.07. 16:00,France,Denmark,29,25
24.07. 13:30,Egypt,Germany,27,30
22.07. 18:30,Germany,Denmark,19,25
22.07. 18:00,Germany U20,Slovenia U20,27,17
22.07. 16:00,France,Egypt,30,26
22.07. 16:00,Slovenia,Croatia,27,25
22.07. 11:40,Qatar,Poland,24,20
17.07. 16:00,Slovenia,Tunisia,39,24
16.07. 18:30,Croatia,Sweden,25,25
16.07. 18:30,Denmark,Brazil,26,26
16.07. 16:00,Slovenia,Tunisia,33,25
16.07. 09:00,Spain U20,Hungary U20,26,27
15.07. 17:00,Slovenia U20,North Macedonia U20,20,18
14.07. 18:30,Croatia,Sweden,26,24
13.07. 16:35,Germany,Tunisia,38,32
10.07. 08:00,Japan U22,China U22,25,25
07.07. 16:00,Slovenia U20,Croatia U20,20,21
26.06. 10:45,Switzerland U20,Germany U20,22,26
26.06. 08:30,Iceland U20,Spain U20,30,23
25.06. 15:15,Switzerland U20,Spain U20,25,26
25.06. 13:00,Iceland U20,Germany U20,28,30
25.06. 04:00,South Korea,Japan,29,24
24.06. 18:15,Switzerland U20,Iceland U20,21,23
24.06. 16:00,Germany U20,Spain U20,26,25
12.06. 14:00,Slovakia,Switzerland,29,25
11.06. 14:00,Slovakia,Switzerland,19,27
08.06. 19:30,Portugal,Qatar,27,22
08.06. 17:00,Germany,Russia,25,27
07.06. 17:00,Norway,Belarus,33,26
04.06. 15:00,Norway,Belarus,36,33
10.04. 16:00,Portugal,Slovakia,33,23
09.04. 20:00,Slovakia,Netherlands,24,28
09.04. 17:00,Serbia,Russia,27,25
09.04. 14:30,France,Hungary,28,25
09.04. 11:10,Czech Republic,Austria,26,23
08.04. 18:30,Portugal,Netherlands,36,24
08.04. 18:00,Serbia,Russia,28,23
07.04. 18:25,Austria,Czech Republic,26,27
07.04. 15:00,Qatar,Brazil,30,28
07.04. 14:00,Portugal,Netherlands,31,25
05.04. 16:30,Norway,Iceland,34,27
05.04. 15:00,Qatar,Argentina,33,19
04.04. 15:00,Argentina,Brazil,20,24
03.04. 15:30,Norway,Iceland,29,25
03.04. 13:30,Germany,Austria,26,20
02.04. 13:45,Germany,Denmark,33,26
13.03. 14:15,Germany,Qatar,24,26
11.03. 17:15,Germany,Qatar,32,17
13.01. 16:00,Tunisia,Gabon,30,17
11.01. 11:00,North Macedonia,Montenegro,29,26
10.01. 19:15,North Macedonia,Montenegro,35,28
10.01. 17:00,Portugal U20,Spain U20,23,25
10.01. 16:30,Hungary,Serbia,25,25
10.01. 15:00,France U20,Germany U20,37,31
10.01. 14:00,Germany,Iceland,24,27
10.01. 12:00,Russia,Belarus,28,28
10.01. 12:00,Spain,Poland,26,12
10.01. 10:00,Argentina,Netherlands,17,28
10.01. 10:00,Brazil,Sweden,28,25
10.01. 09:30,Slovakia U20,Israel U20,33,29
09.01. 20:00,Portugal U20,France U20,23,22
09.01. 18:00,Germany U20,Spain U20,23,26
09.01. 17:00,Spain,Brazil,37,30
09.01. 16:00,Serbia,Hungary,24,22
09.01. 15:15,Slovenia,Croatia,32,17
09.01. 15:00,Sweden,Poland,26,28
09.01. 14:00,Germany,Iceland,26,25
09.01. 14:00,Russia,Argentina,30,24
09.01. 12:00,Belarus,Netherlands,34,34
08.01. 20:30,Portugal U20,Germany U20,20,21
08.01. 19:45,Spain,Sweden,32,22
08.01. 18:00,Croatia,Slovenia,31,30
08.01. 17:45,Poland,Brazil,27,23
08.01. 15:30,Spain U20,France U20,27,30
08.01. 14:00,Russia,Netherlands,35,28
08.01. 12:00,Argentina,Belarus,29,28
07.01. 19:30,Iceland,Portugal,26,25
07.01. 18:00,Morocco,Saudi Arabia,21,30
06.01. 19:30,Iceland,Portugal,28,32
05.01. 19:15,Germany,Tunisia,37,30
05.01. 17:30,Slovenia,North Macedonia,23,23
05.01. 16:45,Sweden,Czech Republic,29,27
05.01. 15:00,Slovenia U19,Austria U19,26,22
04.01. 18:00,Slovenia U20,Austria U20,29,30
04.01. 17:15,Sweden,Czech Republic,34,28
04.01. 17:00,Slovenia,North Macedonia,28,28
03.01. 14:30,Switzerland,Tunisia,29,37
03.01. 12:00,Austria,Portugal,34,30
02.01. 18:00,Switzerland,Portugal,33,31
02.01. 15:30,Tunisia,Austria,34,29
