iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2026-01-19,Austria,Serbia,30.887062,29.098032
1,2,1,2026-01-19,Czech Republic,Ukraine,27.245173,29.324428
1,3,1,2026-01-19,Netherlands,Croatia,36.599713,36.17911
1,4,1,2026-01-19,Norway,France,27.768368,31.271011
1,5,1,2026-01-19,Sweden,Georgia,32.573394,25.76025
1,6,1,2026-01-19,Germany,Spain,35.840931,29.318251
1,7,1,2026-01-20,Montenegro,Switzerland,33.611649,30.982781
1,8,1,2026-01-20,North Macedonia,Romania,25.085789,24.376761
1,9,1,2026-01-20,Poland,Italy,32.824359,31.072146
1,10,1,2026-01-20,Denmark,Portugal,33.165243,30.430981
1,11,1,2026-01-20,Hungary,Iceland,30.256622,31.697152
1,12,1,2026-01-20,Slovenia,Faroe Islands,34.734428,23.485064
1,13,1,2026-01-21,Netherlands,Georgia,31.820378,30.062266
1,14,1,2026-01-21,Sweden,Croatia,28.219296,28.527054
2,1,1,2026-01-19,Austria,Serbia,26.599591,28.458191
2,2,1,2026-01-19,Czech Republic,Ukraine,36.375272,31.634002
2,3,1,2026-01-19,Netherlands,Croatia,30.451377,30.581473
2,4,1,2026-01-19,Norway,France,30.228669,34.110793
2,5,1,2026-01-19,Sweden,Georgia,32.330027,26.404417
2,6,1,2026-01-19,Germany,Spain,38.176686,22.94318
2,7,1,2026-01-20,Montenegro,Switzerland,24.698502,22.656865
2,8,1,2026-01-20,North Macedonia,Romania,31.035244,21.272127
2,9,1,2026-01-20,Poland,Italy,27.422937,23.903679
2,10,1,2026-01-20,Denmark,Portugal,40.638407,34.470361
2,11,1,2026-01-20,Hungary,Iceland,33.354888,32.658463
2,12,1,2026-01-20,Slovenia,Faroe Islands,29.49652,25.427472
2,13,1,2026-01-21,Netherlands,Georgia,19.228849,26.136347
2,14,1,2026-01-21,Sweden,Croatia,32.920034,33.527695
3,1,1,2026-01-19,Austria,Serbia,22.071315,31.123525
3,2,1,2026-01-19,Czech Republic,Ukraine,33.175539,30.375731
3,3,1,2026-01-19,Netherlands,Croatia,23.761675,31.994819
3,4,1,2026-01-19,Norway,France,33.84376,37.342728
3,5,1,2026-01-19,Sweden,Georgia,33.903769,23.674006
3,6,1,2026-01-19,Germany,Spain,24.273015,29.465572
3,7,1,2026-01-20,Montenegro,Switzerland,29.374027,32.53486
3,8,1,2026-01-20,North Macedonia,Romania,26.828232,27.644045
3,9,1,2026-01-20,Poland,Italy,25.787491,27.823737
3,10,1,2026-01-20,Denmark,Portugal,36.396509,28.352857
3,11,1,2026-01-20,Hungary,Iceland,25.267328,29.672821
3,12,1,2026-01-20,Slovenia,Faroe Islands,28.091167,28.076234
3,13,1,2026-01-21,Netherlands,Georgia,32.864373,26.121547
3,14,1,2026-01-21,Sweden,Croatia,31.496376,27.684524
4,1,1,2026-01-19,Austria,Serbia,33.70687,31.109959
4,2,1,2026-01-19,Czech Republic,Ukraine,34.815586,23.88034
4,3,1,2026-01-19,Netherlands,Croatia,27.306024,27.278428
4,4,1,2026-01-19,Norway,France,31.115574,33.749028
4,5,1,2026-01-19,Sweden,Georgia,38.693313,23.193323
4,6,1,2026-01-19,Germany,Spain,26.160132,23.748133
4,7,1,2026-01-20,Montenegro,Switzerland,23.592155,32.974367
4,8,1,2026-01-20,North Macedonia,Romania,34.220474,27.791211
4,9,1,2026-01-20,Poland,Italy,30.52564,31.537549
4,10,1,2026-01-20,Denmark,Portugal,35.865526,27.908864
4,11,1,2026-01-20,Hungary,Iceland,28.75201,30.085538
4,12,1,2026-01-20,Slovenia,Faroe Islands,25.907947,20.625272
4,13,1,2026-01-21,Netherlands,Georgia,31.95421,22.945595
4,14,1,2026-01-21,Sweden,Croatia,37.237841,24.20178
5,1,1,2026-01-19,Austria,Serbia,24.169475,28.0796
5,2,1,2026-01-19,Czech Republic,Ukraine,26.865568,32.762872
5,3,1,2026-01-19,Netherlands,Croatia,30.15524,34.948628
5,4,1,2026-01-19,Norway,France,39.691531,28.370999
5,5,1,2026-01-19,Sweden,Georgia,36.136321,22.821216
5,6,1,2026-01-19,Germany,Spain,32.130233,33.026263
5,7,1,2026-01-20,Montenegro,Switzerland,35.96938,37.134486
5,8,1,2026-01-20,North Macedonia,Romania,24.250659,23.380902
5,9,1,2026-01-20,Poland,Italy,37.127938,35.629813
5,10,1,2026-01-20,Denmark,Portugal,37.264882,24.75254
5,11,1,2026-01-20,Hungary,Iceland,36.714964,34.254638
5,12,1,2026-01-20,Slovenia,Faroe Islands,35.939993,34.69993
5,13,1,2026-01-21,Netherlands,Georgia,39.00697,26.152302
5,14,1,2026-01-21,Sweden,Croatia,26.168251,34.81235
6,1,1,2026-01-19,Austria,Serbia,28.304043,29.082601
6,2,1,2026-01-19,Czech Republic,Ukraine,32.62257,27.114371
6,3,1,2026-01-19,Netherlands,Croatia,29.721533,38.551869
6,4,1,2026-01-19,Norway,France,27.339322,26.574602
6,5,1,2026-01-19,Sweden,Georgia,42.582286,24.706555
6,6,1,2026-01-19,Germany,Spain,32.194153,23.172791
6,7,1,2026-01-20,Montenegro,Switzerland,33.227899,34.628607
6,8,1,2026-01-20,North Macedonia,Romania,29.194846,29.854293
6,9,1,2026-01-20,Poland,Italy,36.700543,31.494647
6,10,1,2026-01-20,Denmark,Portugal,36.395152,25.666059
6,11,1,2026-01-20,Hungary,Iceland,26.724085,29.161337
6,12,1,2026-01-20,Slovenia,Faroe Islands,24.601015,27.034297
