date,home,away,home_score,away_score
18.06. 17:00,Angola W,Cameroon W,25,15
18.06. 14:00,Tunisia W,Congo W,22,17
17.06. 17:00,Cape Verde W,Kenya W,27,22
17.06. 15:00,D.R. Congo W,Senegal W,14,24
17.06. 13:00,Guinea W,Nigeria W,25,21
16.06. 17:00,Cameroon W,Congo W,22,21
16.06. 14:30AET,Tunisia W,Angola W,23,27
16.06. 11:00,Nigeria W,Senegal W,15,32
16.06. 09:00,Guinea W,D.R. Congo W,26,33
15.06. 19:00,Cape Verde W,Madagascar W,30,16
15.06. 17:00,Cameroon W,Nigeria W,44,14
15.06. 15:00,Congo W,Senegal W,21,20
15.06. 13:00,Tunisia W,Guinea W,27,20
15.06. 11:00,Angola W,D.R. Congo W,29,20
14.06. 14:00,Madagascar W,Kenya W,30,33
13.06. 17:00,Angola W,Congo W,29,24
13.06. 15:00,Senegal W,Tunisia W,13,30
13.06. 13:00,Guinea W,Madagascar W,35,16
12.06. 17:00,D.R. Congo W,Cameroon W,21,26
12.06. 15:00,Nigeria W,Kenya W,26,21
11.06. 17:00,Guinea W,Senegal W,20,32
11.06. 15:00,Cape Verde W,Congo W,23,34
11.06. 13:00,Madagascar W,Tunisia W,16,44
10.06. 17:00,Cameroon W,Nigeria W,31,19
10.06. 15:00,D.R. Congo W,Kenya W,42,16
09.06. 17:00,Tunisia W,Guinea W,30,27
09.06. 15:00,Angola W,Cape Verde W,39,14
09.06. 13:00,Senegal W,Madagascar W,42,16
08.06. 17:00,Cameroon W,Kenya W,40,16
08.06. 13:00,Nigeria W,D.R. Congo W,16,35
