date,division,game_nr,home,away,home_timediff,away_timediff
2026-01-16,1,1,Iceland,Italy,5,5
2026-01-16,1,2,Portugal,Romania,5,7
2026-01-16,1,3,Slovenia,Montenegro,5,7
2026-01-16,1,4,Denmark,North Macedonia,6,6
2026-01-16,1,5,Faroe Islands,Switzerland,5,6
2026-01-16,1,6,Hungary,Poland,7,5
2026-01-17,1,7,Austria,Spain,2,2
2026-01-17,1,8,Croatia,Georgia,6,50
2026-01-17,1,9,Ukraine,France,2,2
2026-01-17,1,10,Norway,Czech Republic,2,2
2026-01-17,1,11,Serbia,Germany,2,2
2026-01-17,1,12,Sweden,Netherlands,10,7
2026-01-18,1,13,Montenegro,Faroe Islands,2,2
2026-01-18,1,14,North Macedonia,Portugal,2,2
2026-01-18,1,15,Poland,Iceland,2,2
2026-01-18,1,16,Italy,Hungary,2,2
2026-01-18,1,17,Denmark,Romania,2,2
2026-01-18,1,18,Switzerland,Slovenia,2,2
2026-01-19,1,19,Austria,Serbia,2,2
2026-01-19,1,20,Czech Republic,Ukraine,2,2
2026-01-19,1,21,Netherlands,Croatia,2,2
2026-01-19,1,22,Norway,France,2,2
2026-01-19,1,23,Sweden,Georgia,2,2
2026-01-19,1,24,Germany,Spain,2,2
2026-01-20,1,25,Montenegro,Switzerland,2,2
2026-01-20,1,26,North Macedonia,Romania,2,2
2026-01-20,1,27,Poland,Italy,2,2
2026-01-20,1,28,Denmark,Portugal,2,2
2026-01-20,1,29,Hungary,Iceland,2,2
2026-01-20,1,30,Slovenia,Faroe Islands,2,2
2026-01-21,1,31,Netherlands,Georgia,2,2
2026-01-21,1,32,Sweden,Croatia,2,2
