date,division,game_nr,home,away,home_timediff,away_timediff
2025-12-06,6,1,Iran,Paraguay,2,2
2025-12-06,6,2,Croatia,Uruguay,2,2
2025-12-06,6,3,Argentina,France,2,2
2025-12-06,6,4,Germany,Spain,2,2
2025-12-06,6,5,China,Kazakhstan,2,2
2025-12-06,6,6,Faroe Islands,Iceland,2,2
2025-12-06,6,7,Poland,Netherlands,2,2
2025-12-07,6,8,Senegal,Japan,2,2
2025-12-07,6,9,South Korea,Czech Republic,2,2
2025-12-07,6,10,Angola,Sweden,2,2
2025-12-07,6,11,Switzerland,Romania,2,2
2025-12-07,6,12,Hungary,Denmark,2,2
2025-12-07,6,13,Norway,Brazil,2,2
2025-12-08,6,14,Paraguay,Croatia,2,2
2025-12-08,6,15,Iran,Uruguay,2,2
2025-12-08,6,16,Tunisia,Argentina,4,2
2025-12-08,6,17,Kazakhstan,Egypt,2,4
2025-12-08,6,18,Poland,Austria,2,4
2025-12-08,6,19,China,Cuba,2,4
2025-12-08,6,20,France,Netherlands,2,2
