date,division,game_nr,home,away,home_timediff,away_timediff
2026-01-24,1,1,France,Portugal,2,2
2026-01-24,1,2,Denmark,Spain,2,2
2026-01-24,1,3,Norway,Germany,2,2
2026-01-25,1,4,Slovenia,Hungary,2,2
2026-01-25,1,5,Sweden,Iceland,2,2
2026-01-25,1,6,Switzerland,Croatia,2,2
2026-01-26,1,7,Norway,Portugal,2,2
2026-01-26,1,8,Spain,France,2,2
2026-01-26,1,9,Denmark,Germany,2,2
2026-01-27,1,10,Switzerland,Iceland,2,2
2026-01-27,1,11,Slovenia,Croatia,2,2
2026-01-27,1,12,Sweden,Hungary,2,2
2026-01-28,1,13,Slovenia,Iceland,1,1
2026-01-28,1,14,Spain,Portugal,2,2
2026-01-28,1,15,Croatia,Hungary,1,1
2026-01-28,1,16,Germany,France,2,2
2026-01-28,1,17,Denmark,Norway,2,2
2026-01-28,1,18,Sweden,Switzerland,1,1
