date,home,away,home_score,away_score
02.12. 18:45,Sweden W,Romania W,30,33
29.11. 16:00,France W,Czech Republic W,31,20
29.11. 14:00,Brazil W,Serbia W,24,23
29.11. 13:30,Romania W,Cuba W,36,23
29.11. 12:00,Argentina W,Slovenia W,22,22
29.11. 11:00,Spain W,Denmark W,25,25
29.11. 10:00,Austria W,Switzerland W,29,27
29.11. 09:00,Angola W,Tunisia W,27,22
28.11. 18:45,Spain W,Tunisia W,32,19
28.11. 18:00,Croatia W,Germany W,27,24
28.11. 17:00,Austria W,Switzerland W,32,28
28.11. 16:45,Angola W,Denmark W,17,28
28.11. 16:30,Poland W,Montenegro W,28,26
28.11. 16:00,France W,Cuba W,37,18
28.11. 13:30,Romania W,Czech Republic W,31,26
27.11. 19:00,Spain W,Angola W,37,27
27.11. 18:00,Germany W,Slovakia W,31,31
27.11. 17:00,Tunisia W,Denmark W,15,33
27.11. 15:00,Hungary W,Ukraine W,37,19
26.11. 18:00,Croatia W,Slovakia W,29,19
26.11. 18:00,France W,Romania W,29,27
25.11. 17:00,Germany W,Poland W,30,31
19.11. 16:00,Tunisia W,Italy W,24,22
08.11. 11:30,Serbia W,South Korea W,22,31
25.10. 18:00,Bulgaria U20 W,New Zealand U20 W,43,11
25.10. 14:00,Uzbekistan U20 W,Guadeluope U20 W,20,36
24.10. 17:00,Uzbekistan U20 W,Bulgaria U20 W,28,32
24.10. 13:00,New Zealand U20 W,Senegal U20 W,15,35
23.10. 17:00,Senegal U20 W,Guadeluope U20 W,23,37
23.10. 13:00,New Zealand U20 W,Uzbekistan U20 W,18,45
22.10. 17:00,Bulgaria U20 W,Senegal U20 W,35,23
22.10. 13:00,Guadeluope U20 W,New Zealand U20 W,49,11
21.10. 17:00,Guadeluope U20 W,Bulgaria U20 W,26,22
21.10. 12:30,Senegal U20 W,Uzbekistan U20 W,32,36
08.10. 16:30,Denmark II W,Norway B W,32,32
15.08. 12:00,Japan W,Buxtehuder SV W,28,21
15.08. 06:30,South Korea W,Paris 92 W,38,21
13.08. 16:15,Japan W,H 65 Hoor W,26,26
07.08. 17:00,Hungary W,Japan W,34,18
21.07. 17:00,Croatia U19 W,Russia U19 W,25,25
20.07. 17:00,Spain U19 W,Croatia U19 W,20,15
19.07. 17:00,Spain U19 W,Russia U19 W,30,32
12.07. 11:00,Sweden U19 W,Norway U19 W,25,24
12.07. 09:00,Denmark U19 W,Russia U19 W,32,25
11.07. 16:00,Sweden U19 W,Denmark U19 W,22,27
11.07. 14:00,Russia U19 W,Norway U19 W,31,29
10.07. 18:00,Sweden U19 W,Russia U19 W,24,29
10.07. 16:00,Norway U19 W,Denmark U19 W,23,31
08.07. 15:30,North Macedonia U19 W,Serbia U19 W,32,19
14.06. 13:00,Brazil W,Norway W,18,12
12.06. 20:30,Brazil W,Norway W,21,25
03.06. 16:00,Japan W,Ukraine W,23,26
02.06. 18:15,Sweden W,Netherlands W,30,20
02.06. 15:30,Czech Republic W,Slovakia W,21,22
01.06. 18:30,Montenegro W,Russia W,27,23
01.06. 14:00,Slovakia W,Japan W,28,23
31.05. 13:30,Germany W,Netherlands W,31,29
30.05. 16:00,Poland W,Iceland W,25,18
22.03. 15:00,Italy W,Finland W,23,17
21.03. 19:00,Portugal W,Italy W,23,20
21.03. 18:30,Romania W,Sweden W,17,26
21.03. 17:00,Switzerland W,Iceland W,24,28
21.03. 16:30,Germany W,Brazil W,25,20
21.03. 15:00,Czech Republic W,Turkey W,36,25
21.03. 15:00,Netherlands W,Slovakia W,29,26
21.03. 13:00,Austria W,Belarus W,30,28
21.03. 13:00,Hungary W,Spain W,25,25
21.03. 13:00,Serbia W,Slovenia W,28,30
20.03. 21:00,Portugal W,Finland W,33,24
20.03. 19:00,Czech Republic W,Austria W,31,25
20.03. 19:00,Netherlands W,Slovakia W,33,27
20.03. 19:00,Serbia W,Slovenia W,30,22
20.03. 18:00,Romania W,Brazil W,27,19
20.03. 17:00,Turkey W,Belarus W,28,38
20.03. 16:00Pen,Sweden W,Germany W,33,32
20.03. 13:00,Switzerland W,Iceland W,25,21
19.03. 19:00,Turkey W,Austria W,32,32
19.03. 17:00,Czech Republic W,Belarus W,31,26
