date,home,away,home_score,away_score
27.11. 17:00,Croatia W,Montenegro W,26,25
26.11. 17:00,Montenegro W,Congo W,33,26
26.11. 15:30,Sweden W,Germany W,30,23
26.11. 15:00,Denmark W,Brazil W,33,16
26.11. 14:00,Netherlands W,Hungary W,32,34
26.11. 13:45,Belarus W,Russia W,24,34
26.11. 12:00,Spain W,Serbia W,24,18
26.11. 09:30,Japan W,Argentina W,29,21
25.11. 18:00,Netherlands W,Hungary W,25,23
25.11. 16:00,Spain W,Argentina W,26,20
25.11. 15:30,Romania W,Austria W,41,35
25.11. 15:00,Denmark W,Brazil W,34,24
25.11. 14:00,Croatia W,Congo W,33,23
25.11. 13:45,Belarus W,Russia W,28,32
25.11. 13:30,Serbia W,Japan W,22,38
25.11. 13:00,Czech Republic W,Slovakia W,27,23
25.11. 13:00,Portugal W,Switzerland W,32,34
24.11. 19:00,Slovakia W,Norway B W,20,34
24.11. 18:10,Sweden W,Germany W,30,33
24.11. 18:00,Spain W,Japan W,29,31
24.11. 17:30,Romania W,Portugal W,32,22
24.11. 15:30,Argentina W,Serbia W,18,28
24.11. 13:00,Switzerland W,Austria W,33,34
23.11. 19:00,Czech Republic W,Norway B W,26,31
23.11. 15:30,Romania W,Switzerland W,33,28
23.11. 13:00,Austria W,Portugal W,32,20
05.11. 13:30,Germany W,Hungary W,29,25
14.10. 18:45,Poland W,Argentina W,26,25
12.10. 15:00,Poland W,Argentina W,34,26
29.07. 14:30,Romania W,Spain W,30,25
27.07. 14:30,Romania W,Spain W,30,30
22.07. 17:15,Norway W,France W,18,30
11.04. 19:10,France W,Brazil W,23,18
11.04. 19:00,Denmark W,Sweden W,28,26
08.04. 14:45,Norway W,Montenegro W,27,23
07.04. 18:30,France W,Brazil W,22,18
06.04. 17:15,Norway W,Montenegro W,34,25
05.04. 17:05,Sweden W,Denmark W,34,30
05.03. 18:00,Portugal W,Spain W,20,19
05.03. 16:15,France W,Sweden W,24,22
05.03. 15:30,Italy W,Cape Verde W,36,28
05.03. 14:00,Germany W,Poland W,32,30
04.03. 19:25,Austria W,Brazil W,33,37
04.03. 18:00,Cape Verde W,Portugal W,17,33
04.03. 17:00,Hungary W,Poland W,29,31
04.03. 15:30,Italy W,Spain W,22,35
04.03. 15:30,Romania W,Ukraine W,29,23
04.03. 15:00,Slovakia W,Slovenia W,31,25
04.03. 14:00,Turkey W,North Macedonia W,31,30
03.03. 20:30,Portugal W,Italy W,27,22
03.03. 20:10,France W,Sweden W,24,18
03.03. 18:30,Germany W,Hungary W,26,20
03.03. 18:00,Spain W,Cape Verde W,35,11
03.03. 17:15,Romania W,Ukraine W,29,24
03.03. 17:00,Slovakia W,Slovenia W,20,31
03.03. 16:00,Romania U19 W,Spain U19 W,23,26
02.03. 18:00,Austria W,Brazil W,30,35
02.03. 14:00,Russia W,Belarus W,31,28
02.03. 14:00,Turkey W,North Macedonia W,25,24
