date,home,away,home_score,away_score
03.12. 15:00,Cuba W,Uruguay W,16,44
03.12. 13:00,Brazil W,Slovakia W,21,21
02.12. 23:30,Brazil W,Uruguay W,30,11
02.12. 21:00,Slovakia W,Cuba W,38,11
01.12. 20:45,Brazil W,Cuba W,51,9
01.12. 18:00,Uruguay W,Slovakia W,15,29
30.11. 17:30,Croatia W,Japan W,29,26
30.11. 17:30,Sweden W,France W,21,27
27.11. 18:00,Romania W,Hungary W,24,29
27.11. 15:00AET,Romania B W,Netherlands B W,29,31
27.11. 14:00,Germany W,Sweden W,28,28
27.11. 11:30,Spain W,Poland W,22,18
27.11. 09:30,Japan W,Argentina W,23,19
27.11. 09:30,Slovenia W,Switzerland W,36,29
26.11. 19:15,Spain W,Japan W,33,21
26.11. 18:00,Romania W,Romania B W,31,23
26.11. 17:15,Argentina W,Poland W,28,31
26.11. 17:00,Germany W,Sweden W,24,24
26.11. 16:30,Slovenia W,Switzerland W,32,25
26.11. 15:00,Hungary W,Netherlands B W,30,26
26.11. 14:10,Czech Republic W,Norway B W,26,26
26.11. 12:00,Serbia W,Austria W,31,28
25.11. 19:30,Spain W,Argentina W,35,15
25.11. 17:30,Austria W,Norway B W,21,24
25.11. 17:30,Croatia W,Montenegro W,28,20
25.11. 17:30,Poland W,Japan W,32,17
25.11. 15:30,Czech Republic W,Serbia W,28,30
24.11. 19:00,Czech Republic W,Austria W,26,25
24.11. 17:00,Serbia W,Norway B W,35,25
22.11. 14:30,Belarus W,Lithuania W,31,25
09.10. 14:00,Germany W,Spain W,24,27
08.10. 16:00,Hungary W,Slovenia W,32,22
08.10. 16:00,Portugal W,Algeria W,31,17
08.10. 14:00,Austria W,Croatia W,26,25
08.10. 13:30,Netherlands W,Romania W,23,24
08.10. 13:30,Sweden W,Poland W,31,27
08.10. 11:30,Iceland W,Slovakia W,26,25
08.10. 11:30,Netherlands B W,Serbia W,24,28
07.10. 17:00,Germany W,Spain W,32,18
07.10. 16:30,Netherlands W,Serbia W,31,29
07.10. 16:00,Poland W,Slovakia W,28,18
07.10. 15:30,Croatia W,Austria W,36,28
07.10. 14:00,Iceland W,Sweden W,23,33
06.10. 17:30,Portugal W,Algeria W,29,21
06.10. 16:00,Romania W,Serbia W,19,23
06.10. 16:00,Slovenia W,Czech Republic W,33,28
05.10. 16:00,Slovenia W,Czech Republic W,27,30
03.08. 19:00,Spain W,Sweden W,17,18
02.08. 13:30,Brazil W,Argentina W,24,14
31.07. 15:00,Brazil W,Netherlands W,23,23
28.07. 13:30,Brazil W,Netherlands W,29,27
24.07. 16:00,Norway W,France W,25,24
24.07. 13:45,Spain W,Romania W,21,21
23.07. 17:30,Norway W,Spain W,26,28
23.07. 15:15,Romania W,France W,18,24
21.07. 18:30,Netherlands W,Montenegro W,23,13
21.07. 17:30,Norway W,Romania W,32,21
21.07. 15:15,France W,Spain W,17,21
21.07. 14:00,Sweden W,Russia W,28,31
20.07. 18:30,Russia W,Netherlands W,23,25
20.07. 16:00,Sweden W,Montenegro W,27,29
19.07. 18:30,Netherlands W,Sweden W,25,26
19.07. 16:00,Montenegro W,Russia W,27,26
09.07. 08:00,Chinese Taipei U22 W,Japan U22 W,20,32
08.07. 09:00,Chinese Taipei U22 W,China U22 W,20,29
25.06. 06:00,South Korea W,Japan W,37,17
09.06. 15:00,Slovenia W,South Korea W,23,40
08.06. 14:30,Slovakia W,Brazil W,21,23
07.06. 16:00,Slovakia W,Brazil W,26,25
07.06. 16:00,Slovenia W,South Korea W,16,33
28.05. 17:00,Austria W,Argentina W,22,18
20.03. 17:00,Norway W,Spain W,25,27
20.03. 14:45,Brazil W,Germany W,18,24
19.03. 17:00,Norway W,Brazil W,32,26
19.03. 14:45,Germany W,Spain W,24,25
17.03. 19:45,Spain W,Brazil W,23,22
17.03. 17:30,Norway W,Germany W,35,28
16.03. 16:00,Slovakia W,Norway W,27,33
15.03. 17:30,Sweden W,Romania W,32,29
15.03. 16:30,Slovakia W,Norway W,28,29
