date,home,away,home_score,away_score
09.12. 06:00,South Korea W,Japan W,30,25
09.12. 03:45,Kazakhstan W,China W,21,27
08.12. 07:00,Australia W,Iran W,30,24
08.12. 04:45,India W,Hong Kong W,27,31
07.12. 10:00,Japan W,China W,23,21
07.12. 07:45,South Korea W,Kazakhstan W,31,23
07.12. 05:30,Hong Kong W,Iran W,17,19
07.12. 03:30,Australia W,India W,31,27
07.12. 01:30,New Zealand W,Singapore W,18,20
05.12. 10:00,India W,Hong Kong W,29,30
05.12. 10:00,Japan W,Kazakhstan W,31,24
05.12. 07:45,New Zealand W,Iran W,19,38
05.12. 07:45,South Korea W,China W,24,21
04.12. 10:00,India W,Singapore W,22,17
04.12. 10:00,Iran W,Japan W,8,31
04.12. 07:45,Hong Kong W,South Korea W,17,37
04.12. 07:45,New Zealand W,Australia W,12,28
02.12. 07:00,Australia W,Iran W,29,24
02.12. 07:00,Singapore W,Hong Kong W,12,25
02.12. 04:45,China W,India W,29,12
02.12. 04:45,Kazakhstan W,New Zealand W,51,14
01.12. 07:00,Australia W,Japan W,18,37
01.12. 07:00,Singapore W,South Korea W,9,41
01.12. 04:45,Hong Kong W,China W,10,36
01.12. 04:45,Iran W,Kazakhstan W,26,41
30.11. 10:00,India W,South Korea W,10,37
30.11. 10:00,New Zealand W,Japan W,5,41
30.11. 07:45,Australia W,Kazakhstan W,24,32
30.11. 07:45,Singapore W,China W,7,35
