date,home,away,home_score,away_score
30.12. 17:00,Poland,Brazil,31,23
30.12. 14:30,Tunisia,South Korea,35,32
29.12. 19:15,Croatia,Italy,40,26
29.12. 17:15,Egypt,Slovakia,33,29
29.12. 17:00,Poland,South Korea,31,27
29.12. 15:00,Algeria,Romania,25,33
29.12. 15:00,Latvia,Czech Republic,24,34
29.12. 14:30,Tunisia,Brazil,29,24
28.12. 17:15,Romania,Slovakia,30,31
28.12. 17:00,Latvia,Czech Republic,24,24
28.12. 17:00,Poland,Tunisia,31,32
28.12. 15:00,Egypt,Algeria,38,27
28.12. 14:30,Brazil,South Korea,22,28
28.12. 13:00,North Macedonia,Montenegro,30,31
27.12. 16:00,North Macedonia,Montenegro,38,33
17.12. 15:30,Bahrain,Saudi Arabia,29,26
14.10. 15:30,Bahrain,Egypt,25,26
13.10. 14:00,Tunisia,Qatar,22,22
16.04. 21:00,Tunisia,Brazil,31,30
16.04. 19:05,France,Spain,31,32
16.04. 14:00,Sweden,Denmark,23,31
14.04. 21:00,Tunisia,Brazil,31,30
14.04. 19:05,France,Spain,44,33
14.04. 18:15,Denmark,Poland,30,20
20.03. 14:00,Poland,Sweden,24,28
19.03. 15:15,Germany,Hungary,31,31
17.03. 19:00,Poland,Sweden,24,27
12.01. 13:00,United Arab Emirates,Australia,34,20
09.01. 18:05,Germany,France,35,34
08.01. 19:00,Spain,Poland,26,25
08.01. 17:00,Hungary,Bahrain,36,30
08.01. 15:45,Croatia,Russia,26,28
08.01. 15:00,Denmark,Norway,35,25
07.01. 19:00,Poland,Iran,35,29
07.01. 15:45,Croatia,Russia,30,24
07.01. 15:00,Germany,Switzerland,30,26
06.01. 19:00,Spain,Iran,36,22
06.01. 18:05,Sweden,Netherlands,34,30
03.01. 17:00,North Macedonia,Israel,31,28
