date,home,away,home_score,away_score
30.01. 17:00,Sweden,Spain,27,26
30.01. 14:30AET,France,Denmark,32,35
28.01. 19:45,France,Sweden,33,34
28.01. 17:00,Spain,Denmark,29,25
28.01. 14:30AET,Iceland,Norway,33,34
26.01. 19:30,Denmark,France,29,30
26.01. 17:00,Netherlands,Croatia,28,28
26.01. 14:30,Montenegro,Iceland,24,34
25.01. 19:30,Sweden,Norway,24,23
25.01. 17:00,Germany,Russia,30,29
25.01. 14:30,Poland,Spain,27,28
24.01. 19:30,Montenegro,France,27,36
24.01. 17:00,Denmark,Netherlands,35,23
24.01. 14:30,Iceland,Croatia,22,23
23.01. 19:30,Spain,Norway,23,27
23.01. 17:00,Germany,Sweden,21,25
23.01. 14:30,Poland,Russia,29,29
22.01. 19:30,Denmark,Croatia,27,25
22.01. 17:00,France,Iceland,21,29
22.01. 14:30,Montenegro,Netherlands,30,34
21.01. 19:30,Germany,Norway,23,28
21.01. 17:00,Poland,Sweden,18,28
21.01. 14:30,Russia,Spain,25,26
20.01. 19:30,Denmark,Iceland,28,24
20.01. 19:30,Poland,Norway,31,42
20.01. 17:00,France,Netherlands,34,24
20.01. 17:00,Germany,Spain,23,29
20.01. 14:30,Montenegro,Croatia,32,26
20.01. 14:30,Russia,Sweden,23,29
18.01. 19:30,Belarus,Austria,29,26
18.01. 19:30,Netherlands,Portugal,32,31
18.01. 17:00,Iceland,Hungary,31,30
18.01. 17:00,Poland,Germany,23,30
17.01. 19:30,Czech Republic,Sweden,27,27
17.01. 19:30,France,Serbia,29,25
17.01. 19:30,Lithuania,Norway,29,35
17.01. 19:30,North Macedonia,Denmark,21,31
17.01. 17:00,Bosnia & Herzegovina,Spain,24,28
17.01. 17:00,Montenegro,Slovenia,33,32
17.01. 17:00,Slovakia,Russia,27,36
17.01. 17:00,Ukraine,Croatia,25,38
16.01. 19:30,Belarus,Poland,20,29
16.01. 19:30,Iceland,Netherlands,29,28
16.01. 17:00,Germany,Austria,34,29
16.01. 17:00,Portugal,Hungary,30,31
15.01. 19:30,Croatia,Serbia,23,20
15.01. 19:30,Norway,Russia,22,23
15.01. 19:30,Slovenia,Denmark,23,34
15.01. 19:30,Spain,Sweden,32,28
15.01. 17:00,Czech Republic,Bosnia & Herzegovina,27,19
15.01. 17:00,France,Ukraine,36,23
15.01. 17:00,North Macedonia,Montenegro,24,28
15.01. 17:00,Slovakia,Lithuania,31,26
14.01. 19:30,Austria,Poland,31,36
14.01. 19:30,Portugal,Iceland,24,28
14.01. 17:00,Germany,Belarus,33,29
13.01. 19:30,Croatia,France,22,27
13.01. 19:30,Denmark,Montenegro,30,21
13.01. 19:30,Hungary,Netherlands,28,31
13.01. 19:30,Norway,Slovakia,35,25
13.01. 19:30,Sweden,Bosnia & Herzegovina,30,18
13.01. 17:00,Russia,Lithuania,29,27
13.01. 17:00,Serbia,Ukraine,31,23
13.01. 17:00,Slovenia,North Macedonia,27,25
13.01. 17:00,Spain,Czech Republic,28,26
02.05. 16:00,Austria,Bosnia & Herzegovina,27,23
02.05. 16:00,Belarus,Latvia,30,26
02.05. 16:00,Czech Republic,Ukraine,27,22
02.05. 16:00,Denmark,Finland,46,24
02.05. 16:00,Faroe Islands,Russia,23,28
02.05. 16:00,France,Greece,46,30
02.05. 16:00,Germany,Estonia,35,20
02.05. 16:00,Iceland,Israel,39,29
02.05. 16:00,Montenegro,Romania,23,19
02.05. 16:00,Netherlands,Poland,32,30
02.05. 16:00,North Macedonia,Switzerland,29,28
02.05. 16:00,Norway,Italy,37,16
02.05. 16:00,Portugal,Lithuania,30,25
02.05. 16:00Awrd,Serbia,Belgium,10,0
02.05. 16:00,Slovenia,Turkey,39,24
02.05. 16:00,Sweden,Kosovo,39,16
30.04. 18:45,Faroe Islands,Czech Republic,27,26
30.04. 16:00,Montenegro,Sweden,22,34
29.04. 18:00,Poland,Slovenia,27,26
29.04. 17:00,Israel,Portugal,29,41
29.04. 17:00,Italy,Belarus,31,32
29.04. 16:30,Estonia,Austria,27,31
29.04. 16:15,Norway,Latvia,36,17
29.04. 16:00Awrd,Belgium,France,0,10
29.04. 16:00,Lithuania,Iceland,29,27
29.04. 16:00,Turkey,Netherlands,24,32
