season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2016,2,2016-01-04,Sweden,Czech Republic,34,28,99,1,1
2016,2,2016-01-04,Slovenia,North Macedonia,28,28,100,1,1
2016,2,2016-01-05,Germany,Tunisia,37,30,101,1,1
2016,2,2016-01-05,Slovenia,North Macedonia,23,23,102,1,1
2016,2,2016-01-05,Sweden,Czech Republic,29,27,103,1,1
2016,2,2016-01-06,Iceland,Portugal,28,32,104,1,1
2016,2,2016-01-07,Iceland,Portugal,26,25,105,1,1
2016,2,2016-01-08,Spain,Sweden,32,22,106,1,1
2016,2,2016-01-08,Croatia,Slovenia,31,30,107,1,1
2016,2,2016-01-08,Poland,Brazil,27,23,108,1,1
2016,2,2016-01-08,Russia,Netherlands,35,28,109,1,1
2016,2,2016-01-08,Argentina,Belarus,29,28,110,1,1
2016,2,2016-01-09,Spain,Brazil,37,30,111,1,1
2016,2,2016-01-09,Serbia,Hungary,24,22,112,1,1
2016,2,2016-01-09,Slovenia,Croatia,32,17,113,1,1
2016,2,2016-01-09,Sweden,Poland,26,28,114,1,1
2016,2,2016-01-09,Germany,Iceland,26,25,115,1,1
2016,2,2016-01-09,Russia,Argentina,30,24,116,1,1
2016,2,2016-01-09,Belarus,Netherlands,34,34,117,1,1
2016,2,2016-01-10,North Macedonia,Montenegro,35,28,118,1,1
2016,2,2016-01-10,Hungary,Serbia,25,25,119,1,1
2016,2,2016-01-10,Germany,Iceland,24,27,120,1,1
2016,2,2016-01-10,Russia,Belarus,28,28,121,1,1
2016,2,2016-01-10,Spain,Poland,26,12,122,1,1
2016,2,2016-01-10,Argentina,Netherlands,17,28,123,1,1
2016,2,2016-01-10,Brazil,Sweden,28,25,124,1,1
2016,2,2016-01-11,North Macedonia,Montenegro,29,26,125,1,1
2016,1,2016-01-15,Poland,Serbia,29,28,126,0,0
2016,1,2016-01-15,Iceland,Norway,26,25,127,0,0
2016,1,2016-01-15,France,North Macedonia,30,23,128,0,0
2016,1,2016-01-15,Croatia,Belarus,27,21,129,0,0
2016,1,2016-01-16,Sweden,Slovenia,23,21,130,0,0
2016,1,2016-01-16,Denmark,Russia,31,25,131,0,0
2016,1,2016-01-16,Spain,Germany,32,29,132,0,0
2016,1,2016-01-16,Hungary,Montenegro,32,27,133,0,0
2016,1,2016-01-17,North Macedonia,Poland,23,24,134,0,0
2016,1,2016-01-17,Norway,Croatia,34,31,135,0,0
2016,1,2016-01-17,Serbia,France,26,36,136,0,0
2016,1,2016-01-17,Belarus,Iceland,39,38,137,0,0
2016,1,2016-01-18,Germany,Sweden,27,26,138,0,0
2016,1,2016-01-18,Montenegro,Denmark,28,30,139,0,0
2016,1,2016-01-18,Slovenia,Spain,24,24,140,0,0
2016,1,2016-01-18,Russia,Hungary,27,26,141,0,0
2016,1,2016-01-19,Croatia,Iceland,37,28,142,0,0
2016,1,2016-01-19,France,Poland,25,31,143,0,0
2016,1,2016-01-19,Belarus,Norway,27,29,144,0,0
2016,1,2016-01-19,North Macedonia,Serbia,27,27,145,0,0
2016,1,2016-01-20,Denmark,Hungary,30,22,146,0,0
2016,1,2016-01-20,Spain,Sweden,24,22,147,0,0
2016,1,2016-01-20,Germany,Slovenia,25,21,148,0,0
2016,1,2016-01-20,Russia,Montenegro,28,21,149,0,0
2016,1,2016-01-21,North Macedonia,Croatia,24,34,150,0,0
2016,1,2016-01-21,France,Belarus,34,23,151,0,0
2016,1,2016-01-22,Sweden,Russia,28,28,152,0,0
2016,1,2016-01-22,Germany,Hungary,29,19,153,0,0
2016,1,2016-01-23,Poland,Norway,28,30,154,0,0
2016,1,2016-01-23,France,Croatia,32,24,155,0,0
2016,1,2016-01-24,Spain,Denmark,23,27,156,0,0
2016,1,2016-01-24,Germany,Russia,30,29,157,0,0
2016,1,2016-01-25,Poland,Belarus,32,27,158,0,0
2016,1,2016-01-25,North Macedonia,Norway,31,31,159,0,0
2016,1,2016-01-26,Sweden,Denmark,28,28,160,0,0
2016,1,2016-01-26,Spain,Hungary,31,29,161,0,0
2016,1,2016-01-27,Poland,Croatia,23,37,162,0,0
2016,1,2016-01-27,Spain,Russia,25,23,163,0,0
2016,1,2016-01-27,France,Norway,24,29,164,0,0
2016,1,2016-01-27,Germany,Denmark,25,23,165,0,0
2016,1,2016-01-27,North Macedonia,Belarus,29,30,166,0,0
2016,1,2016-01-27,Sweden,Hungary,22,14,167,0,0
2016,1,2016-01-29,Spain,Croatia,33,29,168,0,0
2016,1,2016-01-29,Norway,Germany,33,34,169,0,0
2016,1,2016-01-29,France,Denmark,29,26,170,0,0
2016,1,2016-01-29,Poland,Sweden,26,24,171,0,0
2016,1,2016-01-31,Germany,Spain,24,17,172,0,0
2016,1,2016-01-31,Norway,Croatia,24,31,173,0,0
2016,2,2016-03-11,Germany,Qatar,32,17,174,1,1
2016,2,2016-03-13,Germany,Qatar,24,26,175,1,1
2016,1,2016-04-02,Estonia,Switzerland,26,34,176,0,0
2016,1,2016-04-02,Romania,Finland,32,30,177,0,0
2016,1,2016-04-02,Greece,Bosnia & Herzegovina,23,28,178,0,0
2016,2,2016-04-02,Germany,Denmark,33,26,179,1,1
2016,2,2016-04-03,Norway,Iceland,29,25,180,1,1
2016,2,2016-04-03,Germany,Austria,26,20,181,1,1
2016,1,2016-04-04,Switzerland,Estonia,31,32,182,0,0
2016,1,2016-04-04,Great Britain,Italy,23,47,183,0,0
2016,2,2016-04-04,Argentina,Brazil,20,24,184,1,1
2016,1,2016-04-05,Bosnia & Herzegovina,Greece,27,22,185,0,0
2016,1,2016-04-05,Finland,Romania,32,29,186,0,0
2016,2,2016-04-05,Norway,Iceland,34,27,187,1,1
2016,2,2016-04-05,Qatar,Argentina,33,19,188,1,1
